Category: All categories

Week,DiGiorno: (United States)
2009-01-11,34
2009-01-18,24
2009-01-25,25
2009-02-01,35
2009-02-08,31
2009-02-15,33
2009-02-22,19
2009-03-01,21
2009-03-08,23
2009-03-15,25
2009-03-22,32
2009-03-29,49
2009-04-05,14
2009-04-12,23
2009-04-19,17
2009-04-26,26
2009-05-03,28
2009-05-10,23
2009-05-17,40
2009-05-24,53
2009-05-31,41
2009-06-07,35
2009-06-14,39
2009-06-21,28
2009-06-28,44
2009-07-05,40
2009-07-12,30
2009-07-19,33
2009-07-26,25
2009-08-02,25
2009-08-09,23
2009-08-16,38
2009-08-23,36
2009-08-30,30
2009-09-06,29
2009-09-13,41
2009-09-20,36
2009-09-27,34
2009-10-04,32
2009-10-11,30
2009-10-18,24
2009-10-25,29
2009-11-01,39
2009-11-08,39
2009-11-15,41
2009-11-22,46
2009-11-29,51
2009-12-06,54
2009-12-13,59
2009-12-20,32
2009-12-27,44
2010-01-03,73
2010-01-10,53
2010-01-17,41
2010-01-24,63
2010-01-31,68
2010-02-07,29
2010-02-14,51
2010-02-21,34
2010-02-28,48
2010-03-07,41
2010-03-14,41
2010-03-21,45
2010-03-28,27
2010-04-04,45
2010-04-11,32
2010-04-18,44
2010-04-25,30
2010-05-02,41
2010-05-09,41
2010-05-16,29
2010-05-23,40
2010-05-30,31
2010-06-06,29
2010-06-13,18
2010-06-20,39
2010-06-27,36
2010-07-04,33
2010-07-11,32
2010-07-18,32
2010-07-25,35
2010-08-01,38
2010-08-08,33
2010-08-15,26
2010-08-22,24
2010-08-29,25
2010-09-05,34
2010-09-12,28
2010-09-19,25
2010-09-26,28
2010-10-03,22
2010-10-10,23
2010-10-17,33
2010-10-24,28
2010-10-31,25
2010-11-07,30
2010-11-14,23
2010-11-21,17
2010-11-28,24
2010-12-05,23
2010-12-12,35
2010-12-19,22
2010-12-26,36
2011-01-02,50
2011-01-09,49
2011-01-16,38
2011-01-23,95
2011-01-30,100
2011-02-06,51
2011-02-13,37
2011-02-20,48
2011-02-27,44
2011-03-06,59
2011-03-13,36
2011-03-20,38
2011-03-27,47
2011-04-03,55
2011-04-10,54
2011-04-17,61
2011-04-24,68
2011-05-01,65
2011-05-08,53
2011-05-15,66
2011-05-22,57
2011-05-29,37
2011-06-05,43
2011-06-12,56
2011-06-19,48
2011-06-26,42
2011-07-03,37
2011-07-10,43
2011-07-17,39
2011-07-24,45
2011-07-31,48
2011-08-07,45
2011-08-14,34
2011-08-21,39
2011-08-28,40
2011-09-04,33
2011-09-11,48
2011-09-18,38
2011-09-25,41
2011-10-02,43
2011-10-09,42
2011-10-16,43
2011-10-23,42
2011-10-30,40
2011-11-06,45
2011-11-13,42
2011-11-20,24
2011-11-27,41
2011-12-04,35
2011-12-11,36
2011-12-18,35
2011-12-25,37
2012-01-01,51
