Category: Food & Drink

Week,DiGiorno: (United States)
2009-01-11,34
2009-01-18,28
2009-01-25,66
2009-02-01,34
2009-02-08,27
2009-02-15,54
2009-02-22,40
2009-03-01,26
2009-03-08,13
2009-03-15,20
2009-03-22,53
2009-03-29,46
2009-04-05,14
2009-04-12,74
2009-04-19,52
2009-04-26,20
2009-05-03,39
2009-05-10,13
2009-05-17,60
2009-05-24,28
2009-05-31,47
2009-06-07,61
2009-06-14,27
2009-06-21,41
2009-06-28,59
2009-07-05,28
2009-07-12,49
2009-07-19,47
2009-07-26,14
2009-08-02,48
2009-08-09,34
2009-08-16,60
2009-08-23,33
2009-08-30,72
2009-09-06,13
2009-09-13,56
2009-09-20,43
2009-09-27,44
2009-10-04,25
2009-10-11,43
2009-10-18,61
2009-10-25,24
2009-11-01,55
2009-11-08,42
2009-11-15,47
2009-11-22,47
2009-11-29,40
2009-12-06,74
2009-12-13,24
2009-12-20,30
2009-12-27,51
2010-01-03,65
2010-01-10,81
2010-01-17,57
2010-01-24,55
2010-01-31,66
2010-02-07,56
2010-02-14,46
2010-02-21,43
2010-02-28,61
2010-03-07,61
2010-03-14,69
2010-03-21,73
2010-03-28,53
2010-04-04,63
2010-04-11,61
2010-04-18,72
2010-04-25,39
2010-05-02,57
2010-05-09,57
2010-05-16,29
2010-05-23,48
2010-05-30,32
2010-06-06,42
2010-06-13,19
2010-06-20,43
2010-06-27,36
2010-07-04,54
2010-07-11,46
2010-07-18,20
2010-07-25,51
2010-08-01,56
2010-08-08,46
2010-08-15,31
2010-08-22,50
2010-08-29,20
2010-09-05,35
2010-09-12,39
2010-09-19,19
2010-09-26,37
2010-10-03,29
2010-10-10,24
2010-10-17,28
2010-10-24,28
2010-10-31,54
2010-11-07,55
2010-11-14,54
2010-11-21,30
2010-11-28,22
2010-12-05,57
2010-12-12,32
2010-12-19,37
2010-12-26,36
2011-01-02,46
2011-01-09,56
2011-01-16,48
2011-01-23,99
2011-01-30,100
2011-02-06,61
2011-02-13,47
2011-02-20,47
2011-02-27,60
2011-03-06,54
2011-03-13,34
2011-03-20,32
2011-03-27,53
2011-04-03,75
2011-04-10,68
2011-04-17,72
2011-04-24,46
2011-05-01,60
2011-05-08,62
2011-05-15,78
2011-05-22,58
2011-05-29,46
2011-06-05,44
2011-06-12,40
2011-06-19,62
2011-06-26,33
2011-07-03,46
2011-07-10,64
2011-07-17,46
2011-07-24,42
2011-07-31,49
2011-08-07,52
2011-08-14,63
2011-08-21,37
2011-08-28,40
2011-09-04,34
2011-09-11,42
2011-09-18,33
2011-09-25,26
2011-10-02,42
2011-10-09,31
2011-10-16,42
2011-10-23,45
2011-10-30,45
2011-11-06,62
2011-11-13,43
2011-11-20,27
2011-11-27,77
2011-12-04,45
2011-12-11,30
2011-12-18,42
2011-12-25,47
2012-01-01,67
