Category: Shopping

Week,DiGiorno: (United States)
2009-01-11,15
2009-01-18,31
2009-01-25,45
2009-02-01,15
2009-02-08,15
2009-02-15,23
2009-02-22,15
2009-03-01,22
2009-03-08,30
2009-03-15,0
2009-03-22,30
2009-03-29,22
2009-04-05,15
2009-04-12,15
2009-04-19,15
2009-04-26,15
2009-05-03,15
2009-05-10,30
2009-05-17,38
2009-05-24,32
2009-05-31,15
2009-06-07,15
2009-06-14,23
2009-06-21,39
2009-06-28,41
2009-07-05,16
2009-07-12,23
2009-07-19,23
2009-07-26,31
2009-08-02,0
2009-08-09,38
2009-08-16,38
2009-08-23,29
2009-08-30,30
2009-09-06,15
2009-09-13,42
2009-09-20,35
2009-09-27,21
2009-10-04,42
2009-10-11,21
2009-10-18,14
2009-10-25,27
2009-11-01,14
2009-11-08,0
2009-11-15,53
2009-11-22,0
2009-11-29,65
2009-12-06,32
2009-12-13,27
2009-12-20,17
2009-12-27,16
2010-01-03,40
2010-01-10,46
2010-01-17,32
2010-01-24,31
2010-01-31,74
2010-02-07,19
2010-02-14,39
2010-02-21,30
2010-02-28,56
2010-03-07,37
2010-03-14,52
2010-03-21,44
2010-03-28,26
2010-04-04,39
2010-04-11,56
2010-04-18,25
2010-04-25,25
2010-05-02,13
2010-05-09,32
2010-05-16,26
2010-05-23,34
2010-05-30,28
2010-06-06,27
2010-06-13,42
2010-06-20,21
2010-06-27,27
2010-07-04,43
2010-07-11,17
2010-07-18,23
2010-07-25,23
2010-08-01,40
2010-08-08,23
2010-08-15,17
2010-08-22,28
2010-08-29,11
2010-09-05,34
2010-09-12,22
2010-09-19,21
2010-09-26,21
2010-10-03,22
2010-10-10,11
2010-10-17,0
2010-10-24,36
2010-10-31,20
2010-11-07,20
2010-11-14,15
2010-11-21,11
2010-11-28,25
2010-12-05,25
2010-12-12,15
2010-12-19,0
2010-12-26,35
2011-01-02,56
2011-01-09,29
2011-01-16,21
2011-01-23,54
2011-01-30,62
2011-02-06,40
2011-02-13,8
2011-02-20,41
2011-02-27,12
2011-03-06,36
2011-03-13,17
2011-03-20,36
2011-03-27,40
2011-04-03,36
2011-04-10,88
2011-04-17,45
2011-04-24,64
2011-05-01,80
2011-05-08,45
2011-05-15,100
2011-05-22,41
2011-05-29,34
2011-06-05,37
2011-06-12,82
2011-06-19,49
2011-06-26,66
2011-07-03,39
2011-07-10,24
2011-07-17,44
2011-07-24,24
2011-07-31,43
2011-08-07,47
2011-08-14,27
2011-08-21,30
2011-08-28,23
2011-09-04,31
2011-09-11,58
2011-09-18,48
2011-09-25,40
2011-10-02,51
2011-10-09,39
2011-10-16,51
2011-10-23,57
2011-10-30,18
2011-11-06,28
2011-11-13,14
2011-11-20,37
2011-11-27,27
2011-12-04,30
2011-12-11,14
2011-12-18,22
2011-12-25,56
2012-01-01,65
