Category: All categories

Week,Frozen Pizza: (United States)
2009-01-11,46
2009-01-18,22
2009-01-25,35
2009-02-01,34
2009-02-08,38
2009-02-15,30
2009-02-22,46
2009-03-01,50
2009-03-08,36
2009-03-15,13
2009-03-22,29
2009-03-29,39
2009-04-05,21
2009-04-12,38
2009-04-19,19
2009-04-26,31
2009-05-03,25
2009-05-10,27
2009-05-17,42
2009-05-24,22
2009-05-31,41
2009-06-07,36
2009-06-14,24
2009-06-21,26
2009-06-28,33
2009-07-05,26
2009-07-12,33
2009-07-19,30
2009-07-26,26
2009-08-02,30
2009-08-09,39
2009-08-16,34
2009-08-23,23
2009-08-30,27
2009-09-06,29
2009-09-13,36
2009-09-20,33
2009-09-27,33
2009-10-04,37
2009-10-11,33
2009-10-18,25
2009-10-25,46
2009-11-01,35
2009-11-08,23
2009-11-15,41
2009-11-22,28
2009-11-29,29
2009-12-06,36
2009-12-13,42
2009-12-20,28
2009-12-27,44
2010-01-03,43
2010-01-10,53
2010-01-17,51
2010-01-24,33
2010-01-31,54
2010-02-07,34
2010-02-14,38
2010-02-21,36
2010-02-28,42
2010-03-07,28
2010-03-14,22
2010-03-21,46
2010-03-28,22
2010-04-04,22
2010-04-11,30
2010-04-18,24
2010-04-25,37
2010-05-02,25
2010-05-09,16
2010-05-16,35
2010-05-23,30
2010-05-30,36
2010-06-06,25
2010-06-13,39
2010-06-20,29
2010-06-27,26
2010-07-04,41
2010-07-11,29
2010-07-18,23
2010-07-25,48
2010-08-01,40
2010-08-08,37
2010-08-15,34
2010-08-22,38
2010-08-29,53
2010-09-05,52
2010-09-12,47
2010-09-19,47
2010-09-26,38
2010-10-03,35
2010-10-10,32
2010-10-17,48
2010-10-24,40
2010-10-31,43
2010-11-07,42
2010-11-14,41
2010-11-21,34
2010-11-28,57
2010-12-05,33
2010-12-12,40
2010-12-19,33
2010-12-26,53
2011-01-02,62
2011-01-09,55
2011-01-16,63
2011-01-23,65
2011-01-30,85
2011-02-06,60
2011-02-13,66
2011-02-20,64
2011-02-27,63
2011-03-06,68
2011-03-13,74
2011-03-20,72
2011-03-27,63
2011-04-03,65
2011-04-10,71
2011-04-17,62
2011-04-24,59
2011-05-01,54
2011-05-08,80
2011-05-15,70
2011-05-22,72
2011-05-29,72
2011-06-05,71
2011-06-12,66
2011-06-19,61
2011-06-26,59
2011-07-03,54
2011-07-10,44
2011-07-17,100
2011-07-24,73
2011-07-31,59
2011-08-07,56
2011-08-14,62
2011-08-21,70
2011-08-28,50
2011-09-04,59
2011-09-11,51
2011-09-18,58
2011-09-25,59
2011-10-02,69
2011-10-09,59
2011-10-16,60
2011-10-23,64
2011-10-30,42
2011-11-06,53
2011-11-13,55
2011-11-20,46
2011-11-27,46
2011-12-04,48
2011-12-11,46
2011-12-18,48
2011-12-25,50
2012-01-01,44
