Category: All categories

Week,Pepperoni pizza: (United States)
2009-01-11,81
2009-01-18,52
2009-01-25,41
2009-02-01,50
2009-02-08,37
2009-02-15,38
2009-02-22,49
2009-03-01,57
2009-03-08,46
2009-03-15,58
2009-03-22,33
2009-03-29,20
2009-04-05,63
2009-04-12,59
2009-04-19,41
2009-04-26,33
2009-05-03,65
2009-05-10,62
2009-05-17,33
2009-05-24,39
2009-05-31,42
2009-06-07,29
2009-06-14,76
2009-06-21,34
2009-06-28,27
2009-07-05,52
2009-07-12,56
2009-07-19,38
2009-07-26,38
2009-08-02,59
2009-08-09,67
2009-08-16,54
2009-08-23,69
2009-08-30,41
2009-09-06,58
2009-09-13,47
2009-09-20,54
2009-09-27,62
2009-10-04,65
2009-10-11,46
2009-10-18,41
2009-10-25,60
2009-11-01,53
2009-11-08,52
2009-11-15,48
2009-11-22,46
2009-11-29,61
2009-12-06,50
2009-12-13,82
2009-12-20,56
2009-12-27,36
2010-01-03,62
2010-01-10,47
2010-01-17,85
2010-01-24,45
2010-01-31,89
2010-02-07,52
2010-02-14,57
2010-02-21,57
2010-02-28,65
2010-03-07,41
2010-03-14,83
2010-03-21,52
2010-03-28,47
2010-04-04,32
2010-04-11,34
2010-04-18,58
2010-04-25,45
2010-05-02,39
2010-05-09,82
2010-05-16,65
2010-05-23,52
2010-05-30,27
2010-06-06,52
2010-06-13,42
2010-06-20,50
2010-06-27,51
2010-07-04,47
2010-07-11,35
2010-07-18,54
2010-07-25,32
2010-08-01,57
2010-08-08,50
2010-08-15,41
2010-08-22,65
2010-08-29,61
2010-09-05,40
2010-09-12,39
2010-09-19,32
2010-09-26,78
2010-10-03,44
2010-10-10,45
2010-10-17,46
2010-10-24,40
2010-10-31,70
2010-11-07,22
2010-11-14,50
2010-11-21,37
2010-11-28,70
2010-12-05,52
2010-12-12,39
2010-12-19,39
2010-12-26,64
2011-01-02,71
2011-01-09,62
2011-01-16,53
2011-01-23,89
2011-01-30,96
2011-02-06,93
2011-02-13,78
2011-02-20,87
2011-02-27,75
2011-03-06,87
2011-03-13,51
2011-03-20,82
2011-03-27,91
2011-04-03,87
2011-04-10,57
2011-04-17,83
2011-04-24,79
2011-05-01,68
2011-05-08,88
2011-05-15,53
2011-05-22,94
2011-05-29,78
2011-06-05,77
2011-06-12,84
2011-06-19,57
2011-06-26,66
2011-07-03,66
2011-07-10,82
2011-07-17,59
2011-07-24,87
2011-07-31,99
2011-08-07,73
2011-08-14,69
2011-08-21,83
2011-08-28,75
2011-09-04,80
2011-09-11,67
2011-09-18,77
2011-09-25,76
2011-10-02,70
2011-10-09,57
2011-10-16,86
2011-10-23,71
2011-10-30,88
2011-11-06,83
2011-11-13,85
2011-11-20,56
2011-11-27,44
2011-12-04,68
2011-12-11,75
2011-12-18,82
2011-12-25,83
2012-01-01,100
