Category: Food & Drink

Week,Pepperoni pizza: (United States)
2009-01-11,66
2009-01-18,31
2009-01-25,26
2009-02-01,43
2009-02-08,22
2009-02-15,31
2009-02-22,47
2009-03-01,68
2009-03-08,26
2009-03-15,64
2009-03-22,30
2009-03-29,30
2009-04-05,31
2009-04-12,22
2009-04-19,30
2009-04-26,38
2009-05-03,55
2009-05-10,34
2009-05-17,48
2009-05-24,32
2009-05-31,44
2009-06-07,13
2009-06-14,40
2009-06-21,27
2009-06-28,38
2009-07-05,36
2009-07-12,49
2009-07-19,26
2009-07-26,26
2009-08-02,31
2009-08-09,87
2009-08-16,35
2009-08-23,55
2009-08-30,25
2009-09-06,43
2009-09-13,40
2009-09-20,60
2009-09-27,24
2009-10-04,28
2009-10-11,28
2009-10-18,51
2009-10-25,58
2009-11-01,39
2009-11-08,58
2009-11-15,19
2009-11-22,39
2009-11-29,70
2009-12-06,74
2009-12-13,35
2009-12-20,44
2009-12-27,47
2010-01-03,49
2010-01-10,34
2010-01-17,70
2010-01-24,46
2010-01-31,67
2010-02-07,58
2010-02-14,37
2010-02-21,28
2010-02-28,43
2010-03-07,32
2010-03-14,52
2010-03-21,58
2010-03-28,53
2010-04-04,19
2010-04-11,28
2010-04-18,46
2010-04-25,57
2010-05-02,40
2010-05-09,59
2010-05-16,45
2010-05-23,35
2010-05-30,61
2010-06-06,54
2010-06-13,32
2010-06-20,55
2010-06-27,19
2010-07-04,21
2010-07-11,36
2010-07-18,50
2010-07-25,23
2010-08-01,23
2010-08-08,52
2010-08-15,10
2010-08-22,51
2010-08-29,41
2010-09-05,48
2010-09-12,34
2010-09-19,37
2010-09-26,39
2010-10-03,37
2010-10-10,34
2010-10-17,36
2010-10-24,30
2010-10-31,23
2010-11-07,29
2010-11-14,35
2010-11-21,45
2010-11-28,56
2010-12-05,45
2010-12-12,35
2010-12-19,13
2010-12-26,47
2011-01-02,56
2011-01-09,60
2011-01-16,50
2011-01-23,73
2011-01-30,100
2011-02-06,55
2011-02-13,63
2011-02-20,53
2011-02-27,75
2011-03-06,48
2011-03-13,46
2011-03-20,62
2011-03-27,69
2011-04-03,97
2011-04-10,46
2011-04-17,53
2011-04-24,68
2011-05-01,59
2011-05-08,61
2011-05-15,55
2011-05-22,72
2011-05-29,59
2011-06-05,68
2011-06-12,64
2011-06-19,59
2011-06-26,54
2011-07-03,54
2011-07-10,58
2011-07-17,57
2011-07-24,61
2011-07-31,74
2011-08-07,64
2011-08-14,54
2011-08-21,54
2011-08-28,65
2011-09-04,59
2011-09-11,50
2011-09-18,57
2011-09-25,60
2011-10-02,69
2011-10-09,57
2011-10-16,71
2011-10-23,45
2011-10-30,64
2011-11-06,60
2011-11-13,44
2011-11-20,60
2011-11-27,61
2011-12-04,67
2011-12-11,74
2011-12-18,56
2011-12-25,69
2012-01-01,74
