Category: All categories

Week,Red Baron Pizza: (United States)
2009-01-11,16
2009-01-18,25
2009-01-25,40
2009-02-01,40
2009-02-08,16
2009-02-15,16
2009-02-22,40
2009-03-01,0
2009-03-08,16
2009-03-15,40
2009-03-22,40
2009-03-29,47
2009-04-05,33
2009-04-12,24
2009-04-19,55
2009-04-26,31
2009-05-03,16
2009-05-10,24
2009-05-17,32
2009-05-24,34
2009-05-31,32
2009-06-07,65
2009-06-14,65
2009-06-21,17
2009-06-28,35
2009-07-05,42
2009-07-12,16
2009-07-19,24
2009-07-26,16
2009-08-02,16
2009-08-09,16
2009-08-16,80
2009-08-23,16
2009-08-30,31
2009-09-06,0
2009-09-13,22
2009-09-20,45
2009-09-27,22
2009-10-04,22
2009-10-11,15
2009-10-18,14
2009-10-25,58
2009-11-01,14
2009-11-08,29
2009-11-15,28
2009-11-22,24
2009-11-29,82
2009-12-06,34
2009-12-13,21
2009-12-20,36
2009-12-27,17
2010-01-03,49
2010-01-10,21
2010-01-17,41
2010-01-24,33
2010-01-31,13
2010-02-07,54
2010-02-14,14
2010-02-21,39
2010-02-28,46
2010-03-07,13
2010-03-14,28
2010-03-21,27
2010-03-28,28
2010-04-04,28
2010-04-11,26
2010-04-18,46
2010-04-25,53
2010-05-02,41
2010-05-09,21
2010-05-16,98
2010-05-23,58
2010-05-30,45
2010-06-06,100
2010-06-13,59
2010-06-20,74
2010-06-27,35
2010-07-04,32
2010-07-11,43
2010-07-18,24
2010-07-25,61
2010-08-01,37
2010-08-08,24
2010-08-15,24
2010-08-22,24
2010-08-29,35
2010-09-05,48
2010-09-12,35
2010-09-19,17
2010-09-26,39
2010-10-03,34
2010-10-10,40
2010-10-17,17
2010-10-24,22
2010-10-31,22
2010-11-07,38
2010-11-14,16
2010-11-21,18
2010-11-28,10
2010-12-05,16
2010-12-12,32
2010-12-19,25
2010-12-26,25
2011-01-02,41
2011-01-09,49
2011-01-16,44
2011-01-23,57
2011-01-30,29
2011-02-06,39
2011-02-13,43
2011-02-20,47
2011-02-27,21
2011-03-06,30
2011-03-13,71
2011-03-20,43
2011-03-27,51
2011-04-03,56
2011-04-10,38
2011-04-17,30
2011-04-24,42
2011-05-01,38
2011-05-08,35
2011-05-15,68
2011-05-22,22
2011-05-29,46
2011-06-05,39
2011-06-12,35
2011-06-19,74
2011-06-26,40
2011-07-03,32
2011-07-10,43
2011-07-17,51
2011-07-24,42
2011-07-31,37
2011-08-07,50
2011-08-14,42
2011-08-21,24
2011-08-28,64
2011-09-04,45
2011-09-11,43
2011-09-18,39
2011-09-25,42
2011-10-02,27
2011-10-09,49
2011-10-16,39
2011-10-23,34
2011-10-30,42
2011-11-06,37
2011-11-13,22
2011-11-20,24
2011-11-27,18
2011-12-04,39
2011-12-11,32
2011-12-18,35
2011-12-25,32
2012-01-01,36
