Category: Food & Drink

Week,Red Baron Pizza: (United States)
2009-01-11,20
2009-01-18,40
2009-01-25,78
2009-02-01,49
2009-02-08,20
2009-02-15,20
2009-02-22,39
2009-03-01,38
2009-03-08,29
2009-03-15,39
2009-03-22,58
2009-03-29,19
2009-04-05,0
2009-04-12,40
2009-04-19,58
2009-04-26,29
2009-05-03,19
2009-05-10,20
2009-05-17,20
2009-05-24,0
2009-05-31,30
2009-06-07,40
2009-06-14,40
2009-06-21,0
2009-06-28,43
2009-07-05,0
2009-07-12,20
2009-07-19,0
2009-07-26,30
2009-08-02,20
2009-08-09,39
2009-08-16,39
2009-08-23,19
2009-08-30,29
2009-09-06,29
2009-09-13,46
2009-09-20,0
2009-09-27,18
2009-10-04,36
2009-10-11,18
2009-10-18,18
2009-10-25,18
2009-11-01,72
2009-11-08,17
2009-11-15,17
2009-11-22,19
2009-11-29,50
2009-12-06,17
2009-12-13,17
2009-12-20,22
2009-12-27,0
2010-01-03,34
2010-01-10,17
2010-01-17,17
2010-01-24,65
2010-01-31,16
2010-02-07,25
2010-02-14,17
2010-02-21,32
2010-02-28,24
2010-03-07,40
2010-03-14,42
2010-03-21,33
2010-03-28,17
2010-04-04,34
2010-04-11,24
2010-04-18,32
2010-04-25,49
2010-05-02,100
2010-05-09,50
2010-05-16,86
2010-05-23,53
2010-05-30,18
2010-06-06,70
2010-06-13,0
2010-06-20,27
2010-06-27,35
2010-07-04,16
2010-07-11,15
2010-07-18,23
2010-07-25,45
2010-08-01,30
2010-08-08,22
2010-08-15,15
2010-08-22,22
2010-08-29,14
2010-09-05,29
2010-09-12,70
2010-09-19,69
2010-09-26,47
2010-10-03,21
2010-10-10,28
2010-10-17,14
2010-10-24,14
2010-10-31,20
2010-11-07,66
2010-11-14,20
2010-11-21,29
2010-11-28,13
2010-12-05,26
2010-12-12,40
2010-12-19,31
2010-12-26,15
2011-01-02,39
2011-01-09,54
2011-01-16,22
2011-01-23,43
2011-01-30,40
2011-02-06,31
2011-02-13,32
2011-02-20,32
2011-02-27,36
2011-03-06,31
2011-03-13,33
2011-03-20,21
2011-03-27,31
2011-04-03,16
2011-04-10,10
2011-04-17,26
2011-04-24,26
2011-05-01,26
2011-05-08,32
2011-05-15,42
2011-05-22,16
2011-05-29,28
2011-06-05,37
2011-06-12,54
2011-06-19,16
2011-06-26,38
2011-07-03,33
2011-07-10,31
2011-07-17,31
2011-07-24,46
2011-07-31,20
2011-08-07,20
2011-08-14,51
2011-08-21,20
2011-08-28,20
2011-09-04,45
2011-09-11,19
2011-09-18,33
2011-09-25,33
2011-10-02,42
2011-10-09,32
2011-10-16,33
2011-10-23,42
2011-10-30,28
2011-11-06,23
2011-11-13,23
2011-11-20,19
2011-11-27,22
2011-12-04,26
2011-12-11,44
2011-12-18,28
2011-12-25,24
2012-01-01,13
