Category: All categories

Week,Tombstone pizza: (United States)
2009-01-11,52
2009-01-18,43
2009-01-25,16
2009-02-01,34
2009-02-08,33
2009-02-15,42
2009-02-22,17
2009-03-01,0
2009-03-08,34
2009-03-15,25
2009-03-22,50
2009-03-29,16
2009-04-05,0
2009-04-12,34
2009-04-19,33
2009-04-26,25
2009-05-03,16
2009-05-10,42
2009-05-17,50
2009-05-24,35
2009-05-31,42
2009-06-07,51
2009-06-14,17
2009-06-21,86
2009-06-28,18
2009-07-05,35
2009-07-12,61
2009-07-19,69
2009-07-26,85
2009-08-02,26
2009-08-09,69
2009-08-16,34
2009-08-23,41
2009-08-30,17
2009-09-06,33
2009-09-13,16
2009-09-20,31
2009-09-27,16
2009-10-04,46
2009-10-11,15
2009-10-18,30
2009-10-25,91
2009-11-01,100
2009-11-08,22
2009-11-15,59
2009-11-22,51
2009-11-29,29
2009-12-06,29
2009-12-13,15
2009-12-20,19
2009-12-27,37
2010-01-03,37
2010-01-10,44
2010-01-17,72
2010-01-24,35
2010-01-31,62
2010-02-07,63
2010-02-14,29
2010-02-21,20
2010-02-28,49
2010-03-07,35
2010-03-14,36
2010-03-21,35
2010-03-28,29
2010-04-04,22
2010-04-11,21
2010-04-18,14
2010-04-25,35
2010-05-02,50
2010-05-09,36
2010-05-16,0
2010-05-23,30
2010-05-30,40
2010-06-06,30
2010-06-13,46
2010-06-20,15
2010-06-27,74
2010-07-04,0
2010-07-11,25
2010-07-18,78
2010-07-25,32
2010-08-01,45
2010-08-08,32
2010-08-15,38
2010-08-22,25
2010-08-29,18
2010-09-05,37
2010-09-12,36
2010-09-19,36
2010-09-26,23
2010-10-03,18
2010-10-10,30
2010-10-17,46
2010-10-24,35
2010-10-31,23
2010-11-07,40
2010-11-14,23
2010-11-21,50
2010-11-28,27
2010-12-05,22
2010-12-12,28
2010-12-19,0
2010-12-26,52
2011-01-02,62
2011-01-09,75
2011-01-16,97
2011-01-23,41
2011-01-30,61
2011-02-06,36
2011-02-13,36
2011-02-20,9
2011-02-27,45
2011-03-06,49
2011-03-13,38
2011-03-20,49
2011-03-27,54
2011-04-03,45
2011-04-10,76
2011-04-17,41
2011-04-24,40
2011-05-01,54
2011-05-08,73
2011-05-15,36
2011-05-22,32
2011-05-29,48
2011-06-05,41
2011-06-12,64
2011-06-19,64
2011-06-26,23
2011-07-03,33
2011-07-10,72
2011-07-17,49
2011-07-24,22
2011-07-31,57
2011-08-07,35
2011-08-14,26
2011-08-21,42
2011-08-28,30
2011-09-04,30
2011-09-11,45
2011-09-18,45
2011-09-25,40
2011-10-02,28
2011-10-09,40
2011-10-16,28
2011-10-23,96
2011-10-30,16
2011-11-06,51
2011-11-13,31
2011-11-20,25
2011-11-27,26
2011-12-04,22
2011-12-11,30
2011-12-18,44
2011-12-25,8
2012-01-01,38
