Category: Shopping

Week,Tombstone pizza: (United States)
2009-01-11,0
2009-01-18,25
2009-01-25,24
2009-02-01,0
2009-02-08,0
2009-02-15,49
2009-02-22,24
2009-03-01,0
2009-03-08,49
2009-03-15,24
2009-03-22,36
2009-03-29,0
2009-04-05,0
2009-04-12,25
2009-04-19,24
2009-04-26,24
2009-05-03,0
2009-05-10,24
2009-05-17,0
2009-05-24,26
2009-05-31,25
2009-06-07,0
2009-06-14,25
2009-06-21,50
2009-06-28,27
2009-07-05,26
2009-07-12,63
2009-07-19,25
2009-07-26,49
2009-08-02,0
2009-08-09,25
2009-08-16,24
2009-08-23,24
2009-08-30,0
2009-09-06,36
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,44
2009-10-25,66
2009-11-01,67
2009-11-08,0
2009-11-15,0
2009-11-22,25
2009-11-29,0
2009-12-06,21
2009-12-13,22
2009-12-20,0
2009-12-27,53
2010-01-03,22
2010-01-10,21
2010-01-17,31
2010-01-24,0
2010-01-31,20
2010-02-07,20
2010-02-14,21
2010-02-21,20
2010-02-28,20
2010-03-07,20
2010-03-14,21
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,20
2010-05-02,21
2010-05-09,21
2010-05-16,21
2010-05-23,0
2010-05-30,23
2010-06-06,22
2010-06-13,34
2010-06-20,0
2010-06-27,65
2010-07-04,0
2010-07-11,18
2010-07-18,66
2010-07-25,19
2010-08-01,19
2010-08-08,0
2010-08-15,19
2010-08-22,18
2010-08-29,36
2010-09-05,0
2010-09-12,0
2010-09-19,17
2010-09-26,0
2010-10-03,35
2010-10-10,0
2010-10-17,17
2010-10-24,34
2010-10-31,33
2010-11-07,17
2010-11-14,0
2010-11-21,0
2010-11-28,16
2010-12-05,16
2010-12-12,17
2010-12-19,0
2010-12-26,19
2011-01-02,14
2011-01-09,13
2011-01-16,34
2011-01-23,13
2011-01-30,19
2011-02-06,13
2011-02-13,20
2011-02-20,26
2011-02-27,13
2011-03-06,13
2011-03-13,27
2011-03-20,39
2011-03-27,0
2011-04-03,20
2011-04-10,32
2011-04-17,53
2011-04-24,64
2011-05-01,45
2011-05-08,13
2011-05-15,19
2011-05-22,26
2011-05-29,56
2011-06-05,33
2011-06-12,40
2011-06-19,100
2011-06-26,40
2011-07-03,28
2011-07-10,46
2011-07-17,13
2011-07-24,13
2011-07-31,19
2011-08-07,13
2011-08-14,25
2011-08-21,24
2011-08-28,31
2011-09-04,31
2011-09-11,12
2011-09-18,12
2011-09-25,12
2011-10-02,12
2011-10-09,11
2011-10-16,0
2011-10-23,75
2011-10-30,18
2011-11-06,28
2011-11-13,0
2011-11-20,12
2011-11-27,11
2011-12-04,22
2011-12-11,11
2011-12-18,29
2011-12-25,36
2012-01-01,11
