Category: All categories

Week,Tonys Pizza: (United States)
2009-01-11,17
2009-01-18,26
2009-01-25,28
2009-02-01,14
2009-02-08,28
2009-02-15,23
2009-02-22,22
2009-03-01,14
2009-03-08,25
2009-03-15,6
2009-03-22,19
2009-03-29,11
2009-04-05,17
2009-04-12,20
2009-04-19,14
2009-04-26,19
2009-05-03,33
2009-05-10,23
2009-05-17,17
2009-05-24,12
2009-05-31,17
2009-06-07,11
2009-06-14,9
2009-06-21,17
2009-06-28,15
2009-07-05,20
2009-07-12,12
2009-07-19,23
2009-07-26,11
2009-08-02,14
2009-08-09,17
2009-08-16,17
2009-08-23,11
2009-08-30,11
2009-09-06,17
2009-09-13,18
2009-09-20,8
2009-09-27,18
2009-10-04,36
2009-10-11,21
2009-10-18,15
2009-10-25,13
2009-11-01,21
2009-11-08,18
2009-11-15,30
2009-11-22,14
2009-11-29,14
2009-12-06,7
2009-12-13,23
2009-12-20,32
2009-12-27,9
2010-01-03,20
2010-01-10,22
2010-01-17,31
2010-01-24,21
2010-01-31,12
2010-02-07,19
2010-02-14,19
2010-02-21,14
2010-02-28,23
2010-03-07,23
2010-03-14,22
2010-03-21,33
2010-03-28,22
2010-04-04,24
2010-04-11,14
2010-04-18,9
2010-04-25,21
2010-05-02,10
2010-05-09,22
2010-05-16,17
2010-05-23,13
2010-05-30,21
2010-06-06,20
2010-06-13,26
2010-06-20,15
2010-06-27,22
2010-07-04,27
2010-07-11,22
2010-07-18,24
2010-07-25,24
2010-08-01,52
2010-08-08,26
2010-08-15,19
2010-08-22,25
2010-08-29,31
2010-09-05,25
2010-09-12,32
2010-09-19,24
2010-09-26,22
2010-10-03,22
2010-10-10,51
2010-10-17,31
2010-10-24,27
2010-10-31,27
2010-11-07,27
2010-11-14,23
2010-11-21,27
2010-11-28,33
2010-12-05,20
2010-12-12,23
2010-12-19,29
2010-12-26,44
2011-01-02,32
2011-01-09,27
2011-01-16,39
2011-01-23,31
2011-01-30,26
2011-02-06,36
2011-02-13,36
2011-02-20,39
2011-02-27,30
2011-03-06,47
2011-03-13,41
2011-03-20,42
2011-03-27,40
2011-04-03,42
2011-04-10,48
2011-04-17,64
2011-04-24,43
2011-05-01,42
2011-05-08,55
2011-05-15,46
2011-05-22,53
2011-05-29,51
2011-06-05,55
2011-06-12,37
2011-06-19,48
2011-06-26,57
2011-07-03,67
2011-07-10,51
2011-07-17,57
2011-07-24,47
2011-07-31,58
2011-08-07,61
2011-08-14,60
2011-08-21,49
2011-08-28,72
2011-09-04,59
2011-09-11,68
2011-09-18,69
2011-09-25,66
2011-10-02,57
2011-10-09,76
2011-10-16,69
2011-10-23,58
2011-10-30,79
2011-11-06,67
2011-11-13,73
2011-11-20,50
2011-11-27,65
2011-12-04,74
2011-12-11,57
2011-12-18,80
2011-12-25,100
2012-01-01,65
