Category: All categories

Week,Totinos pizza: (United States)
2009-01-11,23
2009-01-18,46
2009-01-25,22
2009-02-01,0
2009-02-08,34
2009-02-15,0
2009-02-22,22
2009-03-01,0
2009-03-08,22
2009-03-15,23
2009-03-22,22
2009-03-29,33
2009-04-05,23
2009-04-12,23
2009-04-19,0
2009-04-26,22
2009-05-03,44
2009-05-10,45
2009-05-17,0
2009-05-24,24
2009-05-31,0
2009-06-07,23
2009-06-14,23
2009-06-21,46
2009-06-28,0
2009-07-05,23
2009-07-12,23
2009-07-19,68
2009-07-26,0
2009-08-02,45
2009-08-09,23
2009-08-16,22
2009-08-23,44
2009-08-30,22
2009-09-06,67
2009-09-13,0
2009-09-20,21
2009-09-27,62
2009-10-04,21
2009-10-11,42
2009-10-18,30
2009-10-25,20
2009-11-01,41
2009-11-08,30
2009-11-15,0
2009-11-22,0
2009-11-29,19
2009-12-06,19
2009-12-13,40
2009-12-20,75
2009-12-27,24
2010-01-03,0
2010-01-10,19
2010-01-17,29
2010-01-24,0
2010-01-31,18
2010-02-07,28
2010-02-14,38
2010-02-21,27
2010-02-28,18
2010-03-07,28
2010-03-14,0
2010-03-21,19
2010-03-28,20
2010-04-04,0
2010-04-11,28
2010-04-18,0
2010-04-25,28
2010-05-02,29
2010-05-09,29
2010-05-16,59
2010-05-23,20
2010-05-30,21
2010-06-06,30
2010-06-13,41
2010-06-20,41
2010-06-27,20
2010-07-04,27
2010-07-11,0
2010-07-18,35
2010-07-25,0
2010-08-01,17
2010-08-08,17
2010-08-15,25
2010-08-22,100
2010-08-29,16
2010-09-05,33
2010-09-12,24
2010-09-19,24
2010-09-26,23
2010-10-03,32
2010-10-10,40
2010-10-17,23
2010-10-24,15
2010-10-31,60
2010-11-07,23
2010-11-14,22
2010-11-21,17
2010-11-28,15
2010-12-05,15
2010-12-12,15
2010-12-19,18
2010-12-26,70
2011-01-02,38
2011-01-09,37
2011-01-16,19
2011-01-23,31
2011-01-30,29
2011-02-06,18
2011-02-13,24
2011-02-20,12
2011-02-27,36
2011-03-06,12
2011-03-13,25
2011-03-20,18
2011-03-27,30
2011-04-03,24
2011-04-10,24
2011-04-17,24
2011-04-24,59
2011-05-01,24
2011-05-08,42
2011-05-15,24
2011-05-22,42
2011-05-29,26
2011-06-05,49
2011-06-12,43
2011-06-19,31
2011-06-26,62
2011-07-03,26
2011-07-10,36
2011-07-17,42
2011-07-24,12
2011-07-31,23
2011-08-07,40
2011-08-14,52
2011-08-21,45
2011-08-28,39
2011-09-04,97
2011-09-11,44
2011-09-18,55
2011-09-25,27
2011-10-02,65
2011-10-09,42
2011-10-16,81
2011-10-23,53
2011-10-30,75
2011-11-06,36
2011-11-13,36
2011-11-20,22
2011-11-27,35
2011-12-04,30
2011-12-11,30
2011-12-18,22
2011-12-25,39
2012-01-01,61
