Category: Shopping

Week,Casas Bahia: (State of São Paulo)
2016-12-25,45
2017-01-01,71
2017-01-08,58
2017-01-15,53
2017-01-22,59
2017-01-29,35
2017-02-05,48
2017-02-12,29
2017-02-19,63
2017-02-26,63
2017-03-05,72
2017-03-12,78
2017-03-19,45
2017-03-26,45
2017-04-02,45
2017-04-09,36
2017-04-16,57
2017-04-23,80
2017-04-30,42
2017-05-07,68
2017-05-14,75
2017-05-21,36
2017-05-28,55
2017-06-04,33
2017-06-11,46
2017-06-18,24
2017-06-25,52
2017-07-02,55
2017-07-09,54
2017-07-16,26
2017-07-23,26
2017-07-30,46
2017-08-06,45
2017-08-13,31
2017-08-20,42
2017-08-27,43
2017-09-03,46
2017-09-10,47
2017-09-17,58
2017-09-24,68
2017-10-01,50
2017-10-08,73
2017-10-15,36
2017-10-22,66
2017-10-29,50
2017-11-05,64
2017-11-12,65
2017-11-19,90
2017-11-26,53
2017-12-03,57
2017-12-10,36
2017-12-17,72
2017-12-24,93
2017-12-31,36
2018-01-07,100
2018-01-14,36
2018-01-21,49
2018-01-28,44
2018-02-04,53
2018-02-11,88
2018-02-18,31
2018-02-25,39
2018-03-04,56
2018-03-11,52
2018-03-18,26
2018-03-25,32
2018-04-01,38
2018-04-08,58
2018-04-15,62
2018-04-22,65
2018-04-29,56
2018-05-06,40
2018-05-13,56
2018-05-20,62
2018-05-27,60
2018-06-03,38
2018-06-10,72
2018-06-17,70
2018-06-24,66
2018-07-01,69
2018-07-08,60
2018-07-15,46
2018-07-22,53
2018-07-29,84
2018-08-05,55
