Category: All categories

Week,Enxovais: (State of São Paulo)
2016-12-25,46
2017-01-01,48
2017-01-08,67
2017-01-15,52
2017-01-22,77
2017-01-29,81
2017-02-05,65
2017-02-12,87
2017-02-19,65
2017-02-26,64
2017-03-05,57
2017-03-12,73
2017-03-19,82
2017-03-26,75
2017-04-02,75
2017-04-09,55
2017-04-16,52
2017-04-23,90
2017-04-30,100
2017-05-07,84
2017-05-14,99
2017-05-21,96
2017-05-28,61
2017-06-04,79
2017-06-11,72
2017-06-18,92
2017-06-25,78
2017-07-02,100
2017-07-09,88
2017-07-16,95
2017-07-23,87
2017-07-30,93
2017-08-06,63
2017-08-13,84
2017-08-20,90
2017-08-27,96
2017-09-03,78
2017-09-10,68
2017-09-17,83
2017-09-24,70
2017-10-01,51
2017-10-08,48
2017-10-15,52
2017-10-22,60
2017-10-29,65
2017-11-05,78
2017-11-12,70
2017-11-19,66
2017-11-26,78
2017-12-03,85
2017-12-10,63
2017-12-17,55
2017-12-24,61
2017-12-31,48
2018-01-07,66
2018-01-14,79
2018-01-21,60
2018-01-28,69
2018-02-04,49
2018-02-11,77
2018-02-18,68
2018-02-25,59
2018-03-04,57
2018-03-11,61
2018-03-18,52
2018-03-25,67
2018-04-01,78
2018-04-08,68
2018-04-15,59
2018-04-22,64
2018-04-29,80
2018-05-06,74
2018-05-13,76
2018-05-20,85
2018-05-27,69
2018-06-03,93
2018-06-10,65
2018-06-17,66
2018-06-24,52
2018-07-01,58
2018-07-08,95
2018-07-15,81
2018-07-22,66
2018-07-29,61
2018-08-05,51
