Category: Shopping

Week,jogo de cama: (State of São Paulo)
2016-12-25,57
2017-01-01,69
2017-01-08,40
2017-01-15,64
2017-01-22,78
2017-01-29,48
2017-02-05,44
2017-02-12,49
2017-02-19,39
2017-02-26,34
2017-03-05,31
2017-03-12,31
2017-03-19,70
2017-03-26,21
2017-04-02,26
2017-04-09,28
2017-04-16,56
2017-04-23,58
2017-04-30,50
2017-05-07,33
2017-05-14,39
2017-05-21,56
2017-05-28,39
2017-06-04,22
2017-06-11,30
2017-06-18,43
2017-06-25,28
2017-07-02,12
2017-07-09,47
2017-07-16,28
2017-07-23,23
2017-07-30,54
2017-08-06,48
2017-08-13,53
2017-08-20,32
2017-08-27,27
2017-09-03,41
2017-09-10,27
2017-09-17,38
2017-09-24,37
2017-10-01,63
2017-10-08,40
2017-10-15,41
2017-10-22,30
2017-10-29,60
2017-11-05,35
2017-11-12,42
2017-11-19,86
2017-11-26,25
2017-12-03,91
2017-12-10,21
2017-12-17,28
2017-12-24,98
2017-12-31,53
2018-01-07,77
2018-01-14,52
2018-01-21,51
2018-01-28,46
2018-02-04,100
2018-02-11,50
2018-02-18,76
2018-02-25,45
2018-03-04,54
2018-03-11,50
2018-03-18,34
2018-03-25,41
2018-04-01,30
2018-04-08,51
2018-04-15,61
2018-04-22,51
2018-04-29,53
2018-05-06,71
2018-05-13,51
2018-05-20,41
2018-05-27,21
2018-06-03,35
2018-06-10,42
2018-06-17,56
2018-06-24,36
2018-07-01,58
2018-07-08,75
2018-07-15,58
2018-07-22,51
2018-07-29,34
2018-08-05,24
