Category: All categories

Week,jolitex: (State of São Paulo)
2016-12-25,0
2017-01-01,21
2017-01-08,26
2017-01-15,16
2017-01-22,33
2017-01-29,16
2017-02-05,41
2017-02-12,24
2017-02-19,33
2017-02-26,8
2017-03-05,16
2017-03-12,39
2017-03-19,24
2017-03-26,24
2017-04-02,47
2017-04-09,25
2017-04-16,25
2017-04-23,64
2017-04-30,100
2017-05-07,41
2017-05-14,50
2017-05-21,68
2017-05-28,75
2017-06-04,81
2017-06-11,71
2017-06-18,89
2017-06-25,42
2017-07-02,99
2017-07-09,52
2017-07-16,84
2017-07-23,67
2017-07-30,32
2017-08-06,56
2017-08-13,32
2017-08-20,97
2017-08-27,40
2017-09-03,26
2017-09-10,16
2017-09-17,40
2017-09-24,55
2017-10-01,0
2017-10-08,17
2017-10-15,15
2017-10-22,53
2017-10-29,8
2017-11-05,61
2017-11-12,31
2017-11-19,23
2017-11-26,38
2017-12-03,16
2017-12-10,47
2017-12-17,0
2017-12-24,0
2017-12-31,26
2018-01-07,39
2018-01-14,15
2018-01-21,47
2018-01-28,31
2018-02-04,24
2018-02-11,34
2018-02-18,30
2018-02-25,53
2018-03-04,36
2018-03-11,45
2018-03-18,29
2018-03-25,55
2018-04-01,30
2018-04-08,23
2018-04-15,38
2018-04-22,46
2018-04-29,57
2018-05-06,30
2018-05-13,68
2018-05-20,84
2018-05-27,56
2018-06-03,59
2018-06-10,84
2018-06-17,46
2018-06-24,77
2018-07-01,63
2018-07-08,79
2018-07-15,24
2018-07-22,30
2018-07-29,51
2018-08-05,73
