Category: Shopping

Week,Pillow: (State of São Paulo)
2016-12-25,44
2017-01-01,86
2017-01-08,24
2017-01-15,45
2017-01-22,69
2017-01-29,67
2017-02-05,69
2017-02-12,67
2017-02-19,58
2017-02-26,47
2017-03-05,43
2017-03-12,75
2017-03-19,33
2017-03-26,33
2017-04-02,44
2017-04-09,0
2017-04-16,69
2017-04-23,55
2017-04-30,46
2017-05-07,45
2017-05-14,69
2017-05-21,35
2017-05-28,46
2017-06-04,56
2017-06-11,98
2017-06-18,79
2017-06-25,24
2017-07-02,25
2017-07-09,61
2017-07-16,83
2017-07-23,47
2017-07-30,33
2017-08-06,67
2017-08-13,22
2017-08-20,34
2017-08-27,89
2017-09-03,48
2017-09-10,22
2017-09-17,56
2017-09-24,54
2017-10-01,99
2017-10-08,59
2017-10-15,32
2017-10-22,74
2017-10-29,0
2017-11-05,42
2017-11-12,44
2017-11-19,84
2017-11-26,63
2017-12-03,67
2017-12-10,66
2017-12-17,71
2017-12-24,68
2017-12-31,49
2018-01-07,32
2018-01-14,43
2018-01-21,21
2018-01-28,43
2018-02-04,66
2018-02-11,23
2018-02-18,94
2018-02-25,42
2018-03-04,40
2018-03-11,52
2018-03-18,41
2018-03-25,32
2018-04-01,42
2018-04-08,21
2018-04-15,53
2018-04-22,42
2018-04-29,100
2018-05-06,84
2018-05-13,74
2018-05-20,43
2018-05-27,22
2018-06-03,62
2018-06-10,29
2018-06-17,42
2018-06-24,43
2018-07-01,66
2018-07-08,55
2018-07-15,22
2018-07-22,53
2018-07-29,61
2018-08-05,61
