Category: All categories

Week,Travesseiro  fibrasca: (Brazil)
2016-12-25,0
2017-01-01,42
2017-01-08,23
2017-01-15,22
2017-01-22,33
2017-01-29,0
2017-02-05,44
2017-02-12,32
2017-02-19,34
2017-02-26,0
2017-03-05,0
2017-03-12,41
2017-03-19,21
2017-03-26,21
2017-04-02,0
2017-04-09,57
2017-04-16,23
2017-04-23,21
2017-04-30,68
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,23
2017-06-04,33
2017-06-11,0
2017-06-18,22
2017-06-25,46
2017-07-02,0
2017-07-09,24
2017-07-16,23
2017-07-23,35
2017-07-30,22
2017-08-06,22
2017-08-13,0
2017-08-20,66
2017-08-27,22
2017-09-03,0
2017-09-10,33
2017-09-17,22
2017-09-24,43
2017-10-01,43
2017-10-08,23
2017-10-15,21
2017-10-22,53
2017-10-29,22
2017-11-05,0
2017-11-12,43
2017-11-19,41
2017-11-26,32
2017-12-03,22
2017-12-10,0
2017-12-17,23
2017-12-24,26
2017-12-31,48
2018-01-07,54
2018-01-14,43
2018-01-21,42
2018-01-28,43
2018-02-04,22
2018-02-11,70
2018-02-18,0
2018-02-25,21
2018-03-04,100
2018-03-11,30
2018-03-18,50
2018-03-25,22
2018-04-01,0
2018-04-08,51
2018-04-15,20
2018-04-22,62
2018-04-29,22
2018-05-06,41
2018-05-13,41
2018-05-20,21
2018-05-27,64
2018-06-03,20
2018-06-10,39
2018-06-17,21
2018-06-24,21
2018-07-01,32
2018-07-08,21
2018-07-15,22
2018-07-22,21
2018-07-29,30
2018-08-05,20
