Category: Shopping

Week,B2W: (State of São Paulo)
2016-12-25,74
2017-01-01,27
2017-01-08,52
2017-01-15,35
2017-01-22,7
2017-01-29,49
2017-02-05,36
2017-02-12,42
2017-02-19,43
2017-02-26,44
2017-03-05,61
2017-03-12,33
2017-03-19,28
2017-03-26,48
2017-04-02,61
2017-04-09,44
2017-04-16,58
2017-04-23,48
2017-04-30,22
2017-05-07,63
2017-05-14,22
2017-05-21,37
2017-05-28,7
2017-06-04,56
2017-06-11,31
2017-06-18,56
2017-06-25,44
2017-07-02,47
2017-07-09,8
2017-07-16,59
2017-07-23,58
2017-07-30,62
2017-08-06,56
2017-08-13,55
2017-08-20,42
2017-08-27,48
2017-09-03,38
2017-09-10,49
2017-09-17,42
2017-09-24,88
2017-10-01,68
2017-10-08,37
2017-10-15,53
2017-10-22,66
2017-10-29,64
2017-11-05,53
2017-11-12,48
2017-11-19,52
2017-11-26,46
2017-12-03,42
2017-12-10,41
2017-12-17,66
2017-12-24,17
2017-12-31,30
2018-01-07,0
2018-01-14,60
2018-01-21,67
2018-01-28,54
2018-02-04,62
2018-02-11,29
2018-02-18,53
2018-02-25,45
2018-03-04,88
2018-03-11,92
2018-03-18,32
2018-03-25,68
2018-04-01,66
2018-04-08,100
2018-04-15,39
2018-04-22,53
2018-04-29,56
2018-05-06,92
2018-05-13,65
2018-05-20,53
2018-05-27,48
2018-06-03,64
2018-06-10,30
2018-06-17,53
2018-06-24,80
2018-07-01,48
2018-07-08,34
2018-07-15,96
2018-07-22,85
2018-07-29,95
2018-08-05,51
