Category: All categories

Week,cupom desconto submarino: (State of São Paulo)
2016-12-25,75
2017-01-01,31
2017-01-08,52
2017-01-15,40
2017-01-22,42
2017-01-29,32
2017-02-05,17
2017-02-12,33
2017-02-19,50
2017-02-26,17
2017-03-05,47
2017-03-12,0
2017-03-19,24
2017-03-26,16
2017-04-02,24
2017-04-09,17
2017-04-16,17
2017-04-23,32
2017-04-30,34
2017-05-07,16
2017-05-14,25
2017-05-21,17
2017-05-28,25
2017-06-04,33
2017-06-11,18
2017-06-18,49
2017-06-25,0
2017-07-02,36
2017-07-09,9
2017-07-16,9
2017-07-23,52
2017-07-30,16
2017-08-06,16
2017-08-13,16
2017-08-20,41
2017-08-27,24
2017-09-03,9
2017-09-10,41
2017-09-17,32
2017-09-24,8
2017-10-01,56
2017-10-08,26
2017-10-15,23
2017-10-22,38
2017-10-29,58
2017-11-05,15
2017-11-12,24
2017-11-19,100
2017-11-26,31
2017-12-03,32
2017-12-10,24
2017-12-17,35
2017-12-24,20
2017-12-31,27
2018-01-07,23
2018-01-14,39
2018-01-21,39
2018-01-28,24
2018-02-04,56
2018-02-11,34
2018-02-18,30
2018-02-25,46
2018-03-04,22
2018-03-11,30
2018-03-18,37
2018-03-25,0
2018-04-01,30
2018-04-08,8
2018-04-15,45
2018-04-22,38
2018-04-29,41
2018-05-06,15
2018-05-13,30
2018-05-20,31
2018-05-27,8
2018-06-03,22
2018-06-10,7
2018-06-17,15
2018-06-24,15
2018-07-01,8
2018-07-08,8
2018-07-15,16
2018-07-22,31
2018-07-29,15
2018-08-05,30
