Category: All categories

Week,cupom submarino: (Brazil)
2016-12-25,57
2017-01-01,39
2017-01-08,40
2017-01-15,37
2017-01-22,47
2017-01-29,38
2017-02-05,30
2017-02-12,33
2017-02-19,35
2017-02-26,42
2017-03-05,37
2017-03-12,31
2017-03-19,25
2017-03-26,33
2017-04-02,27
2017-04-09,24
2017-04-16,26
2017-04-23,36
2017-04-30,36
2017-05-07,23
2017-05-14,24
2017-05-21,32
2017-05-28,33
2017-06-04,25
2017-06-11,37
2017-06-18,33
2017-06-25,21
2017-07-02,19
2017-07-09,34
2017-07-16,30
2017-07-23,32
2017-07-30,39
2017-08-06,28
2017-08-13,32
2017-08-20,23
2017-08-27,16
2017-09-03,29
2017-09-10,25
2017-09-17,18
2017-09-24,25
2017-10-01,53
2017-10-08,22
2017-10-15,23
2017-10-22,35
2017-10-29,22
2017-11-05,28
2017-11-12,32
2017-11-19,100
2017-11-26,64
2017-12-03,43
2017-12-10,55
2017-12-17,28
2017-12-24,34
2017-12-31,30
2018-01-07,27
2018-01-14,28
2018-01-21,32
2018-01-28,31
2018-02-04,32
2018-02-11,25
2018-02-18,24
2018-02-25,26
2018-03-04,25
2018-03-11,33
2018-03-18,26
2018-03-25,27
2018-04-01,28
2018-04-08,20
2018-04-15,26
2018-04-22,29
2018-04-29,26
2018-05-06,16
2018-05-13,16
2018-05-20,23
2018-05-27,34
2018-06-03,16
2018-06-10,18
2018-06-17,32
2018-06-24,20
2018-07-01,18
2018-07-08,15
2018-07-15,24
2018-07-22,23
2018-07-29,17
2018-08-05,23
