Category: All categories

Week,cupom submarino: (State of São Paulo)
2016-12-25,63
2017-01-01,18
2017-01-08,51
2017-01-15,38
2017-01-22,49
2017-01-29,14
2017-02-05,40
2017-02-12,14
2017-02-19,55
2017-02-26,31
2017-03-05,51
2017-03-12,32
2017-03-19,29
2017-03-26,19
2017-04-02,14
2017-04-09,10
2017-04-16,25
2017-04-23,19
2017-04-30,20
2017-05-07,19
2017-05-14,20
2017-05-21,35
2017-05-28,35
2017-06-04,19
2017-06-11,21
2017-06-18,29
2017-06-25,25
2017-07-02,27
2017-07-09,31
2017-07-16,35
2017-07-23,20
2017-07-30,19
2017-08-06,39
2017-08-13,28
2017-08-20,34
2017-08-27,34
2017-09-03,21
2017-09-10,24
2017-09-17,24
2017-09-24,19
2017-10-01,57
2017-10-08,21
2017-10-15,18
2017-10-22,32
2017-10-29,39
2017-11-05,18
2017-11-12,14
2017-11-19,100
2017-11-26,64
2017-12-03,33
2017-12-10,71
2017-12-17,46
2017-12-24,0
2017-12-31,21
2018-01-07,41
2018-01-14,9
2018-01-21,32
2018-01-28,9
2018-02-04,24
2018-02-11,45
2018-02-18,18
2018-02-25,31
2018-03-04,22
2018-03-11,31
2018-03-18,31
2018-03-25,14
2018-04-01,40
2018-04-08,46
2018-04-15,40
2018-04-22,27
2018-04-29,43
2018-05-06,18
2018-05-13,27
2018-05-20,9
2018-05-27,24
2018-06-03,22
2018-06-10,12
2018-06-17,23
2018-06-24,14
2018-07-01,19
2018-07-08,19
2018-07-15,19
2018-07-22,23
2018-07-29,22
2018-08-05,22
