Category: Shopping

Week,MercadoLibre SA: (State of São Paulo)
2016-12-25,51
2017-01-01,65
2017-01-08,68
2017-01-15,55
2017-01-22,55
2017-01-29,47
2017-02-05,64
2017-02-12,58
2017-02-19,49
2017-02-26,49
2017-03-05,50
2017-03-12,59
2017-03-19,65
2017-03-26,61
2017-04-02,60
2017-04-09,50
2017-04-16,67
2017-04-23,52
2017-04-30,66
2017-05-07,58
2017-05-14,60
2017-05-21,63
2017-05-28,70
2017-06-04,62
2017-06-11,48
2017-06-18,54
2017-06-25,66
2017-07-02,80
2017-07-09,74
2017-07-16,57
2017-07-23,72
2017-07-30,67
2017-08-06,80
2017-08-13,57
2017-08-20,87
2017-08-27,61
2017-09-03,70
2017-09-10,69
2017-09-17,76
2017-09-24,78
2017-10-01,72
2017-10-08,64
2017-10-15,82
2017-10-22,83
2017-10-29,61
2017-11-05,86
2017-11-12,67
2017-11-19,82
2017-11-26,87
2017-12-03,86
2017-12-10,93
2017-12-17,87
2017-12-24,71
2017-12-31,79
2018-01-07,94
2018-01-14,93
2018-01-21,83
2018-01-28,90
2018-02-04,91
2018-02-11,80
2018-02-18,82
2018-02-25,95
2018-03-04,78
2018-03-11,93
2018-03-18,82
2018-03-25,78
2018-04-01,98
2018-04-08,87
2018-04-15,100
2018-04-22,96
2018-04-29,88
2018-05-06,95
2018-05-13,86
2018-05-20,74
2018-05-27,76
2018-06-03,91
2018-06-10,94
2018-06-17,77
2018-06-24,84
2018-07-01,90
2018-07-08,81
2018-07-15,87
2018-07-22,75
2018-07-29,99
2018-08-05,94
