Category: Shopping

Week,MercadoLibre: (State of São Paulo)
2016-12-25,17
2017-01-01,40
2017-01-08,59
2017-01-15,63
2017-01-22,95
2017-01-29,54
2017-02-05,37
2017-02-12,54
2017-02-19,35
2017-02-26,48
2017-03-05,16
2017-03-12,21
2017-03-19,27
2017-03-26,56
2017-04-02,17
2017-04-09,45
2017-04-16,45
2017-04-23,10
2017-04-30,10
2017-05-07,31
2017-05-14,60
2017-05-21,56
2017-05-28,51
2017-06-04,32
2017-06-11,11
2017-06-18,44
2017-06-25,41
2017-07-02,37
2017-07-09,43
2017-07-16,47
2017-07-23,35
2017-07-30,34
2017-08-06,56
2017-08-13,46
2017-08-20,41
2017-08-27,42
2017-09-03,45
2017-09-10,23
2017-09-17,64
2017-09-24,46
2017-10-01,33
2017-10-08,58
2017-10-15,62
2017-10-22,44
2017-10-29,40
2017-11-05,46
2017-11-12,56
2017-11-19,46
2017-11-26,32
2017-12-03,59
2017-12-10,100
2017-12-17,27
2017-12-24,44
2017-12-31,57
2018-01-07,35
2018-01-14,91
2018-01-21,59
2018-01-28,32
2018-02-04,35
2018-02-11,29
2018-02-18,63
2018-02-25,22
2018-03-04,74
2018-03-11,34
2018-03-18,41
2018-03-25,36
2018-04-01,41
2018-04-08,23
2018-04-15,46
2018-04-22,53
2018-04-29,57
2018-05-06,33
2018-05-13,44
2018-05-20,41
2018-05-27,53
2018-06-03,32
2018-06-10,16
2018-06-17,47
2018-06-24,39
2018-07-01,33
2018-07-08,53
2018-07-15,47
2018-07-22,55
2018-07-29,49
2018-08-05,54
