Category: All categories

Week,olist: (Brazil)
2016-12-25,38
2017-01-01,6
2017-01-08,11
2017-01-15,15
2017-01-22,31
2017-01-29,34
2017-02-05,25
2017-02-12,24
2017-02-19,21
2017-02-26,21
2017-03-05,29
2017-03-12,38
2017-03-19,74
2017-03-26,39
2017-04-02,14
2017-04-09,21
2017-04-16,15
2017-04-23,29
2017-04-30,31
2017-05-07,30
2017-05-14,21
2017-05-21,42
2017-05-28,37
2017-06-04,30
2017-06-11,22
2017-06-18,25
2017-06-25,31
2017-07-02,6
2017-07-09,21
2017-07-16,42
2017-07-23,26
2017-07-30,25
2017-08-06,20
2017-08-13,45
2017-08-20,30
2017-08-27,69
2017-09-03,27
2017-09-10,60
2017-09-17,65
2017-09-24,58
2017-10-01,64
2017-10-08,63
2017-10-15,63
2017-10-22,29
2017-10-29,46
2017-11-05,67
2017-11-12,54
2017-11-19,93
2017-11-26,28
2017-12-03,65
2017-12-10,93
2017-12-17,86
2017-12-24,54
2017-12-31,39
2018-01-07,44
2018-01-14,54
2018-01-21,48
2018-01-28,58
2018-02-04,40
2018-02-11,37
2018-02-18,70
2018-02-25,47
2018-03-04,59
2018-03-11,23
2018-03-18,59
2018-03-25,55
2018-04-01,37
2018-04-08,60
2018-04-15,46
2018-04-22,19
2018-04-29,84
2018-05-06,80
2018-05-13,66
2018-05-20,100
2018-05-27,39
2018-06-03,83
2018-06-10,53
2018-06-17,29
2018-06-24,71
2018-07-01,64
2018-07-08,73
2018-07-15,30
2018-07-22,81
2018-07-29,87
2018-08-05,45
