Category: All categories

Week,olist: (State of São Paulo)
2016-12-25,26
2017-01-01,13
2017-01-08,10
2017-01-15,34
2017-01-22,25
2017-01-29,24
2017-02-05,15
2017-02-12,34
2017-02-19,25
2017-02-26,21
2017-03-05,24
2017-03-12,19
2017-03-19,58
2017-03-26,24
2017-04-02,19
2017-04-09,10
2017-04-16,25
2017-04-23,57
2017-04-30,25
2017-05-07,39
2017-05-14,20
2017-05-21,36
2017-05-28,35
2017-06-04,24
2017-06-11,27
2017-06-18,15
2017-06-25,26
2017-07-02,16
2017-07-09,26
2017-07-16,47
2017-07-23,36
2017-07-30,20
2017-08-06,49
2017-08-13,39
2017-08-20,15
2017-08-27,39
2017-09-03,26
2017-09-10,39
2017-09-17,34
2017-09-24,38
2017-10-01,57
2017-10-08,41
2017-10-15,46
2017-10-22,18
2017-10-29,55
2017-11-05,32
2017-11-12,58
2017-11-19,37
2017-11-26,51
2017-12-03,53
2017-12-10,39
2017-12-17,52
2017-12-24,30
2017-12-31,64
2018-01-07,28
2018-01-14,28
2018-01-21,57
2018-01-28,42
2018-02-04,38
2018-02-11,50
2018-02-18,36
2018-02-25,36
2018-03-04,71
2018-03-11,67
2018-03-18,58
2018-03-25,47
2018-04-01,54
2018-04-08,28
2018-04-15,59
2018-04-22,46
2018-04-29,39
2018-05-06,69
2018-05-13,36
2018-05-20,84
2018-05-27,39
2018-06-03,67
2018-06-10,59
2018-06-17,56
2018-06-24,23
2018-07-01,53
2018-07-08,49
2018-07-15,100
2018-07-22,32
2018-07-29,53
2018-08-05,57
