Category: All categories

Week,Olist: (Brazil)
2016-12-25,27
2017-01-01,20
2017-01-08,17
2017-01-15,27
2017-01-22,33
2017-01-29,52
2017-02-05,16
2017-02-12,16
2017-02-19,11
2017-02-26,28
2017-03-05,15
2017-03-12,30
2017-03-19,63
2017-03-26,15
2017-04-02,20
2017-04-09,27
2017-04-16,27
2017-04-23,61
2017-04-30,27
2017-05-07,26
2017-05-14,44
2017-05-21,34
2017-05-28,39
2017-06-04,32
2017-06-11,29
2017-06-18,27
2017-06-25,39
2017-07-02,29
2017-07-09,40
2017-07-16,45
2017-07-23,28
2017-07-30,42
2017-08-06,21
2017-08-13,64
2017-08-20,37
2017-08-27,47
2017-09-03,40
2017-09-10,42
2017-09-17,58
2017-09-24,56
2017-10-01,68
2017-10-08,50
2017-10-15,46
2017-10-22,56
2017-10-29,33
2017-11-05,26
2017-11-12,52
2017-11-19,79
2017-11-26,30
2017-12-03,63
2017-12-10,47
2017-12-17,63
2017-12-24,57
2017-12-31,58
2018-01-07,52
2018-01-14,57
2018-01-21,56
2018-01-28,67
2018-02-04,74
2018-02-11,23
2018-02-18,40
2018-02-25,45
2018-03-04,63
2018-03-11,49
2018-03-18,58
2018-03-25,63
2018-04-01,60
2018-04-08,49
2018-04-15,58
2018-04-22,30
2018-04-29,100
2018-05-06,75
2018-05-13,90
2018-05-20,86
2018-05-27,52
2018-06-03,88
2018-06-10,56
2018-06-17,61
2018-06-24,75
2018-07-01,62
2018-07-08,98
2018-07-15,69
2018-07-22,45
2018-07-29,59
2018-08-05,96
