Category: Shopping

Week,Submarino: (State of São Paulo)
2016-12-25,32
2017-01-01,0
2017-01-08,13
2017-01-15,13
2017-01-22,27
2017-01-29,69
2017-02-05,15
2017-02-12,15
2017-02-19,0
2017-02-26,15
2017-03-05,46
2017-03-12,15
2017-03-19,16
2017-03-26,16
2017-04-02,47
2017-04-09,16
2017-04-16,17
2017-04-23,15
2017-04-30,45
2017-05-07,29
2017-05-14,34
2017-05-21,16
2017-05-28,16
2017-06-04,15
2017-06-11,0
2017-06-18,31
2017-06-25,50
2017-07-02,35
2017-07-09,17
2017-07-16,33
2017-07-23,50
2017-07-30,16
2017-08-06,16
2017-08-13,0
2017-08-20,51
2017-08-27,68
2017-09-03,54
2017-09-10,0
2017-09-17,100
2017-09-24,99
2017-10-01,16
2017-10-08,0
2017-10-15,81
2017-10-22,48
2017-10-29,0
2017-11-05,0
2017-11-12,15
2017-11-19,44
2017-11-26,39
2017-12-03,56
2017-12-10,14
2017-12-17,0
2017-12-24,0
2017-12-31,65
2018-01-07,29
2018-01-14,29
2018-01-21,62
2018-01-28,16
2018-02-04,17
2018-02-11,16
2018-02-18,16
2018-02-25,31
2018-03-04,0
2018-03-11,50
2018-03-18,33
2018-03-25,34
2018-04-01,68
2018-04-08,84
2018-04-15,33
2018-04-22,0
2018-04-29,49
2018-05-06,16
2018-05-13,32
2018-05-20,16
2018-05-27,35
2018-06-03,15
2018-06-10,15
2018-06-17,0
2018-06-24,0
2018-07-01,16
2018-07-08,29
2018-07-15,0
2018-07-22,12
2018-07-29,12
2018-08-05,23
