Category: Shopping

Week,Submarino: (State of São Paulo)
2016-12-25,33
2017-01-01,29
2017-01-08,32
2017-01-15,29
2017-01-22,24
2017-01-29,22
2017-02-05,27
2017-02-12,26
2017-02-19,23
2017-02-26,28
2017-03-05,26
2017-03-12,28
2017-03-19,24
2017-03-26,24
2017-04-02,20
2017-04-09,20
2017-04-16,20
2017-04-23,20
2017-04-30,29
2017-05-07,25
2017-05-14,24
2017-05-21,22
2017-05-28,22
2017-06-04,23
2017-06-11,24
2017-06-18,21
2017-06-25,19
2017-07-02,22
2017-07-09,25
2017-07-16,23
2017-07-23,21
2017-07-30,25
2017-08-06,22
2017-08-13,23
2017-08-20,24
2017-08-27,25
2017-09-03,21
2017-09-10,26
2017-09-17,20
2017-09-24,20
2017-10-01,29
2017-10-08,28
2017-10-15,21
2017-10-22,19
2017-10-29,23
2017-11-05,25
2017-11-12,24
2017-11-19,100
2017-11-26,47
2017-12-03,33
2017-12-10,31
2017-12-17,28
2017-12-24,26
2017-12-31,27
2018-01-07,23
2018-01-14,21
2018-01-21,19
2018-01-28,20
2018-02-04,20
2018-02-11,21
2018-02-18,17
2018-02-25,17
2018-03-04,17
2018-03-11,18
2018-03-18,19
2018-03-25,16
2018-04-01,17
2018-04-08,17
2018-04-15,21
2018-04-22,20
2018-04-29,18
2018-05-06,19
2018-05-13,18
2018-05-20,15
2018-05-27,14
2018-06-03,17
2018-06-10,17
2018-06-17,16
2018-06-24,14
2018-07-01,14
2018-07-08,17
2018-07-15,16
2018-07-22,14
2018-07-29,17
2018-08-05,14
