Category: All categories

Week,mercado olist: (Brazil)
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,23
2017-01-22,0
2017-01-29,0
2017-02-05,23
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,21
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,23
2017-04-16,23
2017-04-23,22
2017-04-30,23
2017-05-07,0
2017-05-14,24
2017-05-21,0
2017-05-28,23
2017-06-04,23
2017-06-11,48
2017-06-18,23
2017-06-25,24
2017-07-02,25
2017-07-09,0
2017-07-16,24
2017-07-23,24
2017-07-30,23
2017-08-06,23
2017-08-13,34
2017-08-20,22
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,22
2017-09-24,22
2017-10-01,22
2017-10-08,47
2017-10-15,44
2017-10-22,22
2017-10-29,23
2017-11-05,32
2017-11-12,22
2017-11-19,21
2017-11-26,0
2017-12-03,45
2017-12-10,22
2017-12-17,0
2017-12-24,0
2017-12-31,100
2018-01-07,33
2018-01-14,0
2018-01-21,32
2018-01-28,22
2018-02-04,22
2018-02-11,0
2018-02-18,21
2018-02-25,32
2018-03-04,20
2018-03-11,84
2018-03-18,0
2018-03-25,66
2018-04-01,21
2018-04-08,42
2018-04-15,21
2018-04-22,42
2018-04-29,44
2018-05-06,43
2018-05-13,22
2018-05-20,44
2018-05-27,22
2018-06-03,62
2018-06-10,20
2018-06-17,22
2018-06-24,64
2018-07-01,33
2018-07-08,22
2018-07-15,22
2018-07-22,21
2018-07-29,31
2018-08-05,0
