Category: All categories

Week,mercado olist: (State of São Paulo)
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,100
2017-01-22,0
2017-01-29,50
2017-02-05,0
2017-02-12,50
2017-02-19,0
2017-02-26,0
2017-03-05,97
2017-03-12,48
2017-03-19,0
2017-03-26,0
2017-04-02,49
2017-04-09,0
2017-04-16,0
2017-04-23,49
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,55
2017-06-18,0
2017-06-25,52
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,50
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,50
2017-09-17,0
2017-09-24,0
2017-10-01,49
2017-10-08,0
2017-10-15,48
2017-10-22,47
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,47
2017-11-26,0
2017-12-03,0
2017-12-10,49
2017-12-17,53
2017-12-24,0
2017-12-31,55
2018-01-07,48
2018-01-14,0
2018-01-21,0
2018-01-28,48
2018-02-04,0
2018-02-11,0
2018-02-18,47
2018-02-25,0
2018-03-04,0
2018-03-11,46
2018-03-18,0
2018-03-25,48
2018-04-01,47
2018-04-08,48
2018-04-15,47
2018-04-22,47
2018-04-29,49
2018-05-06,47
2018-05-13,0
2018-05-20,48
2018-05-27,50
2018-06-03,46
2018-06-10,44
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,50
2018-07-15,49
2018-07-22,47
2018-07-29,45
2018-08-05,45
