Category: Shopping

Week,Do it yourself: (State of São Paulo)
2016-12-25,49
2017-01-01,32
2017-01-08,59
2017-01-15,71
2017-01-22,61
2017-01-29,53
2017-02-05,48
2017-02-12,90
2017-02-19,67
2017-02-26,49
2017-03-05,75
2017-03-12,50
2017-03-19,68
2017-03-26,52
2017-04-02,58
2017-04-09,62
2017-04-16,42
2017-04-23,33
2017-04-30,52
2017-05-07,85
2017-05-14,61
2017-05-21,49
2017-05-28,58
2017-06-04,56
2017-06-11,44
2017-06-18,62
2017-06-25,65
2017-07-02,55
2017-07-09,51
2017-07-16,62
2017-07-23,75
2017-07-30,52
2017-08-06,46
2017-08-13,49
2017-08-20,59
2017-08-27,46
2017-09-03,80
2017-09-10,53
2017-09-17,40
2017-09-24,42
2017-10-01,39
2017-10-08,98
2017-10-15,82
2017-10-22,61
2017-10-29,95
2017-11-05,55
2017-11-12,48
2017-11-19,41
2017-11-26,47
2017-12-03,52
2017-12-10,55
2017-12-17,78
2017-12-24,19
2017-12-31,31
2018-01-07,56
2018-01-14,71
2018-01-21,80
2018-01-28,86
2018-02-04,100
2018-02-11,58
2018-02-18,44
2018-02-25,52
2018-03-04,48
2018-03-11,46
2018-03-18,54
2018-03-25,30
2018-04-01,23
2018-04-08,50
2018-04-15,49
2018-04-22,47
2018-04-29,55
2018-05-06,23
2018-05-13,55
2018-05-20,35
2018-05-27,40
2018-06-03,52
2018-06-10,60
2018-06-17,38
2018-06-24,53
2018-07-01,52
2018-07-08,55
2018-07-15,52
2018-07-22,47
2018-07-29,50
2018-08-05,42
