Category: All categories

Week,cadeira brasil: (State of São Paulo)
2016-12-25,45
2017-01-01,44
2017-01-08,36
2017-01-15,51
2017-01-22,35
2017-01-29,17
2017-02-05,44
2017-02-12,34
2017-02-19,35
2017-02-26,54
2017-03-05,33
2017-03-12,49
2017-03-19,34
2017-03-26,42
2017-04-02,17
2017-04-09,18
2017-04-16,87
2017-04-23,17
2017-04-30,62
2017-05-07,26
2017-05-14,35
2017-05-21,27
2017-05-28,18
2017-06-04,52
2017-06-11,47
2017-06-18,34
2017-06-25,45
2017-07-02,57
2017-07-09,65
2017-07-16,18
2017-07-23,36
2017-07-30,34
2017-08-06,42
2017-08-13,25
2017-08-20,17
2017-08-27,17
2017-09-03,28
2017-09-10,26
2017-09-17,17
2017-09-24,33
2017-10-01,25
2017-10-08,18
2017-10-15,32
2017-10-22,56
2017-10-29,35
2017-11-05,32
2017-11-12,100
2017-11-19,64
2017-11-26,32
2017-12-03,43
2017-12-10,100
2017-12-17,27
2017-12-24,21
2017-12-31,19
2018-01-07,24
2018-01-14,41
2018-01-21,49
2018-01-28,65
2018-02-04,58
2018-02-11,44
2018-02-18,16
2018-02-25,72
2018-03-04,31
2018-03-11,32
2018-03-18,16
2018-03-25,66
2018-04-01,32
2018-04-08,56
2018-04-15,16
2018-04-22,24
2018-04-29,34
2018-05-06,32
2018-05-13,72
2018-05-20,41
2018-05-27,34
2018-06-03,47
2018-06-10,67
2018-06-17,32
2018-06-24,33
2018-07-01,17
2018-07-08,34
2018-07-15,59
2018-07-22,73
2018-07-29,31
2018-08-05,15
