Category: All categories

Week,decoração de casa: (State of São Paulo)
2016-12-25,34
2017-01-01,69
2017-01-08,28
2017-01-15,55
2017-01-22,36
2017-01-29,50
2017-02-05,38
2017-02-12,15
2017-02-19,0
2017-02-26,41
2017-03-05,37
2017-03-12,48
2017-03-19,83
2017-03-26,12
2017-04-02,100
2017-04-09,0
2017-04-16,39
2017-04-23,25
2017-04-30,13
2017-05-07,38
2017-05-14,12
2017-05-21,12
2017-05-28,25
2017-06-04,13
2017-06-11,44
2017-06-18,13
2017-06-25,28
2017-07-02,57
2017-07-09,71
2017-07-16,42
2017-07-23,41
2017-07-30,14
2017-08-06,42
2017-08-13,27
2017-08-20,67
2017-08-27,13
2017-09-03,0
2017-09-10,56
2017-09-17,56
2017-09-24,56
2017-10-01,0
2017-10-08,47
2017-10-15,85
2017-10-22,40
2017-10-29,30
2017-11-05,42
2017-11-12,30
2017-11-19,29
2017-11-26,15
2017-12-03,16
2017-12-10,32
2017-12-17,51
2017-12-24,40
2017-12-31,78
2018-01-07,32
2018-01-14,33
2018-01-21,66
2018-01-28,79
2018-02-04,34
2018-02-11,72
2018-02-18,16
2018-02-25,16
2018-03-04,79
2018-03-11,16
2018-03-18,47
2018-03-25,0
2018-04-01,16
2018-04-08,48
2018-04-15,33
2018-04-22,66
2018-04-29,36
2018-05-06,33
2018-05-13,32
2018-05-20,50
2018-05-27,18
2018-06-03,32
2018-06-10,32
2018-06-17,17
2018-06-24,36
2018-07-01,58
2018-07-08,59
2018-07-15,72
2018-07-22,89
2018-07-29,17
2018-08-05,0
