Category: All categories

Week,decoração de casa: (State of São Paulo)
2016-12-25,71
2017-01-01,69
2017-01-08,83
2017-01-15,88
2017-01-22,100
2017-01-29,56
2017-02-05,80
2017-02-12,78
2017-02-19,61
2017-02-26,99
2017-03-05,70
2017-03-12,80
2017-03-19,64
2017-03-26,58
2017-04-02,69
2017-04-09,56
2017-04-16,72
2017-04-23,84
2017-04-30,78
2017-05-07,60
2017-05-14,56
2017-05-21,73
2017-05-28,72
2017-06-04,60
2017-06-11,65
2017-06-18,81
2017-06-25,68
2017-07-02,60
2017-07-09,76
2017-07-16,57
2017-07-23,56
2017-07-30,99
2017-08-06,38
2017-08-13,69
2017-08-20,46
2017-08-27,56
2017-09-03,46
2017-09-10,83
2017-09-17,56
2017-09-24,52
2017-10-01,47
2017-10-08,74
2017-10-15,64
2017-10-22,73
2017-10-29,74
2017-11-05,86
2017-11-12,87
2017-11-19,81
2017-11-26,86
2017-12-03,59
2017-12-10,48
2017-12-17,37
2017-12-24,98
2017-12-31,77
2018-01-07,64
2018-01-14,75
2018-01-21,59
2018-01-28,54
2018-02-04,50
2018-02-11,64
2018-02-18,78
2018-02-25,48
2018-03-04,49
2018-03-11,60
2018-03-18,47
2018-03-25,49
2018-04-01,55
2018-04-08,33
2018-04-15,78
2018-04-22,43
2018-04-29,75
2018-05-06,58
2018-05-13,81
2018-05-20,64
2018-05-27,51
2018-06-03,82
2018-06-10,59
2018-06-17,69
2018-06-24,52
2018-07-01,53
2018-07-08,45
2018-07-15,58
2018-07-22,71
2018-07-29,78
2018-08-05,36
