Category: Home Furnishings

Week,lojas de moveis: (State of São Paulo)
2016-12-25,18
2017-01-01,17
2017-01-08,29
2017-01-15,20
2017-01-22,28
2017-01-29,27
2017-02-05,28
2017-02-12,13
2017-02-19,14
2017-02-26,14
2017-03-05,26
2017-03-12,26
2017-03-19,40
2017-03-26,26
2017-04-02,26
2017-04-09,28
2017-04-16,28
2017-04-23,33
2017-04-30,42
2017-05-07,27
2017-05-14,35
2017-05-21,21
2017-05-28,35
2017-06-04,27
2017-06-11,29
2017-06-18,14
2017-06-25,14
2017-07-02,45
2017-07-09,37
2017-07-16,28
2017-07-23,35
2017-07-30,20
2017-08-06,13
2017-08-13,40
2017-08-20,34
2017-08-27,34
2017-09-03,22
2017-09-10,27
2017-09-17,20
2017-09-24,26
2017-10-01,0
2017-10-08,14
2017-10-15,26
2017-10-22,25
2017-10-29,27
2017-11-05,38
2017-11-12,33
2017-11-19,44
2017-11-26,45
2017-12-03,27
2017-12-10,13
2017-12-17,14
2017-12-24,41
2017-12-31,73
2018-01-07,26
2018-01-14,26
2018-01-21,39
2018-01-28,52
2018-02-04,13
2018-02-11,21
2018-02-18,44
2018-02-25,25
2018-03-04,37
2018-03-11,44
2018-03-18,62
2018-03-25,26
2018-04-01,25
2018-04-08,38
2018-04-15,13
2018-04-22,19
2018-04-29,20
2018-05-06,32
2018-05-13,0
2018-05-20,13
2018-05-27,13
2018-06-03,100
2018-06-10,30
2018-06-17,38
2018-06-24,0
2018-07-01,26
2018-07-08,40
2018-07-15,27
2018-07-22,32
2018-07-29,24
2018-08-05,24
