Category: Shopping

Week,lojas de moveis: (State of São Paulo)
2016-12-25,25
2017-01-01,61
2017-01-08,40
2017-01-15,57
2017-01-22,29
2017-01-29,38
2017-02-05,0
2017-02-12,76
2017-02-19,20
2017-02-26,70
2017-03-05,92
2017-03-12,55
2017-03-19,28
2017-03-26,47
2017-04-02,28
2017-04-09,100
2017-04-16,0
2017-04-23,65
2017-04-30,49
2017-05-07,58
2017-05-14,79
2017-05-21,40
2017-05-28,39
2017-06-04,0
2017-06-11,31
2017-06-18,48
2017-06-25,30
2017-07-02,43
2017-07-09,62
2017-07-16,40
2017-07-23,30
2017-07-30,19
2017-08-06,57
2017-08-13,19
2017-08-20,19
2017-08-27,57
2017-09-03,41
2017-09-10,29
2017-09-17,38
2017-09-24,46
2017-10-01,37
2017-10-08,40
2017-10-15,27
2017-10-22,54
2017-10-29,19
2017-11-05,45
2017-11-12,37
2017-11-19,63
2017-11-26,36
2017-12-03,38
2017-12-10,28
2017-12-17,40
2017-12-24,0
2017-12-31,84
2018-01-07,55
2018-01-14,18
2018-01-21,73
2018-01-28,0
2018-02-04,19
2018-02-11,40
2018-02-18,27
2018-02-25,62
2018-03-04,52
2018-03-11,18
2018-03-18,35
2018-03-25,28
2018-04-01,0
2018-04-08,54
2018-04-15,71
2018-04-22,54
2018-04-29,57
2018-05-06,54
2018-05-13,36
2018-05-20,45
2018-05-27,19
2018-06-03,18
2018-06-10,17
2018-06-17,36
2018-06-24,55
2018-07-01,47
2018-07-08,28
2018-07-15,47
2018-07-22,36
2018-07-29,26
2018-08-05,43
