Category: All categories

Week,puff moveis: (State of São Paulo)
2016-12-25,34
2017-01-01,33
2017-01-08,27
2017-01-15,50
2017-01-22,52
2017-01-29,25
2017-02-05,52
2017-02-12,51
2017-02-19,52
2017-02-26,0
2017-03-05,49
2017-03-12,24
2017-03-19,25
2017-03-26,25
2017-04-02,25
2017-04-09,27
2017-04-16,0
2017-04-23,25
2017-04-30,26
2017-05-07,0
2017-05-14,0
2017-05-21,53
2017-05-28,26
2017-06-04,25
2017-06-11,28
2017-06-18,25
2017-06-25,40
2017-07-02,42
2017-07-09,55
2017-07-16,27
2017-07-23,0
2017-07-30,25
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,25
2017-09-03,27
2017-09-10,0
2017-09-17,25
2017-09-24,49
2017-10-01,0
2017-10-08,53
2017-10-15,0
2017-10-22,24
2017-10-29,26
2017-11-05,24
2017-11-12,25
2017-11-19,48
2017-11-26,24
2017-12-03,0
2017-12-10,51
2017-12-17,0
2017-12-24,62
2017-12-31,28
2018-01-07,24
2018-01-14,49
2018-01-21,0
2018-01-28,49
2018-02-04,25
2018-02-11,26
2018-02-18,0
2018-02-25,24
2018-03-04,23
2018-03-11,24
2018-03-18,23
2018-03-25,37
2018-04-01,0
2018-04-08,48
2018-04-15,24
2018-04-22,24
2018-04-29,0
2018-05-06,24
2018-05-13,24
2018-05-20,36
2018-05-27,100
2018-06-03,23
2018-06-10,44
2018-06-17,0
2018-06-24,0
2018-07-01,25
2018-07-08,0
2018-07-15,50
2018-07-22,0
2018-07-29,23
2018-08-05,46
