Category: Beauty & Fitness

Week,Curls: (State of São Paulo)
2016-12-25,100
2017-01-01,78
2017-01-08,77
2017-01-15,83
2017-01-22,87
2017-01-29,81
2017-02-05,80
2017-02-12,73
2017-02-19,62
2017-02-26,83
2017-03-05,71
2017-03-12,74
2017-03-19,63
2017-03-26,66
2017-04-02,63
2017-04-09,75
2017-04-16,72
2017-04-23,63
2017-04-30,72
2017-05-07,65
2017-05-14,66
2017-05-21,74
2017-05-28,57
2017-06-04,66
2017-06-11,65
2017-06-18,68
2017-06-25,71
2017-07-02,75
2017-07-09,78
2017-07-16,70
2017-07-23,77
2017-07-30,73
2017-08-06,67
2017-08-13,70
2017-08-20,83
2017-08-27,81
2017-09-03,71
2017-09-10,62
2017-09-17,73
2017-09-24,76
2017-10-01,72
2017-10-08,72
2017-10-15,72
2017-10-22,73
2017-10-29,86
2017-11-05,80
2017-11-12,81
2017-11-19,80
2017-11-26,84
2017-12-03,87
2017-12-10,96
2017-12-17,100
2017-12-24,91
2017-12-31,74
2018-01-07,84
2018-01-14,90
2018-01-21,84
2018-01-28,70
2018-02-04,68
2018-02-11,78
2018-02-18,67
2018-02-25,84
2018-03-04,74
2018-03-11,75
2018-03-18,76
2018-03-25,74
2018-04-01,74
2018-04-08,70
2018-04-15,65
2018-04-22,71
2018-04-29,77
2018-05-06,67
2018-05-13,71
2018-05-20,62
2018-05-27,84
2018-06-03,74
2018-06-10,70
2018-06-17,80
2018-06-24,79
2018-07-01,85
2018-07-08,91
2018-07-15,90
2018-07-22,86
2018-07-29,74
2018-08-05,69
