Category: Beauty & Fitness

Week,Schwarzkopf Professional IGORA: (State of São Paulo)
2016-12-25,50
2017-01-01,73
2017-01-08,40
2017-01-15,50
2017-01-22,78
2017-01-29,56
2017-02-05,65
2017-02-12,44
2017-02-19,65
2017-02-26,53
2017-03-05,61
2017-03-12,24
2017-03-19,50
2017-03-26,80
2017-04-02,37
2017-04-09,66
2017-04-16,71
2017-04-23,49
2017-04-30,78
2017-05-07,32
2017-05-14,45
2017-05-21,46
2017-05-28,58
2017-06-04,32
2017-06-11,62
2017-06-18,57
2017-06-25,66
2017-07-02,42
2017-07-09,68
2017-07-16,60
2017-07-23,46
2017-07-30,94
2017-08-06,50
2017-08-13,31
2017-08-20,13
2017-08-27,50
2017-09-03,48
2017-09-10,63
2017-09-17,44
2017-09-24,67
2017-10-01,43
2017-10-08,66
2017-10-15,60
2017-10-22,59
2017-10-29,38
2017-11-05,65
2017-11-12,61
2017-11-19,59
2017-11-26,65
2017-12-03,62
2017-12-10,81
2017-12-17,60
2017-12-24,38
2017-12-31,21
2018-01-07,78
2018-01-14,78
2018-01-21,48
2018-01-28,54
2018-02-04,68
2018-02-11,59
2018-02-18,53
2018-02-25,70
2018-03-04,62
2018-03-11,53
2018-03-18,63
2018-03-25,36
2018-04-01,100
2018-04-08,65
2018-04-15,83
2018-04-22,95
2018-04-29,75
2018-05-06,95
2018-05-13,65
2018-05-20,66
2018-05-27,81
2018-06-03,52
2018-06-10,55
2018-06-17,48
2018-06-24,72
2018-07-01,43
2018-07-08,75
2018-07-15,80
2018-07-22,89
2018-07-29,74
2018-08-05,74
