Category: Beauty & Fitness

Week,Schwarzkopf: (State of São Paulo)
2016-12-25,50
2017-01-01,42
2017-01-08,46
2017-01-15,54
2017-01-22,45
2017-01-29,70
2017-02-05,50
2017-02-12,54
2017-02-19,56
2017-02-26,45
2017-03-05,47
2017-03-12,41
2017-03-19,48
2017-03-26,58
2017-04-02,53
2017-04-09,74
2017-04-16,22
2017-04-23,26
2017-04-30,34
2017-05-07,71
2017-05-14,39
2017-05-21,51
2017-05-28,78
2017-06-04,33
2017-06-11,36
2017-06-18,65
2017-06-25,28
2017-07-02,48
2017-07-09,100
2017-07-16,57
2017-07-23,62
2017-07-30,54
2017-08-06,92
2017-08-13,59
2017-08-20,54
2017-08-27,86
2017-09-03,18
2017-09-10,59
2017-09-17,38
2017-09-24,63
2017-10-01,58
2017-10-08,51
2017-10-15,26
2017-10-22,46
2017-10-29,55
2017-11-05,71
2017-11-12,21
2017-11-19,41
2017-11-26,82
2017-12-03,54
2017-12-10,53
2017-12-17,51
2017-12-24,39
2017-12-31,12
2018-01-07,21
2018-01-14,52
2018-01-21,46
2018-01-28,41
2018-02-04,37
2018-02-11,34
2018-02-18,56
2018-02-25,30
2018-03-04,49
2018-03-11,40
2018-03-18,44
2018-03-25,36
2018-04-01,61
2018-04-08,46
2018-04-15,51
2018-04-22,36
2018-04-29,70
2018-05-06,56
2018-05-13,20
2018-05-20,41
2018-05-27,70
2018-06-03,95
2018-06-10,33
2018-06-17,41
2018-06-24,78
2018-07-01,64
2018-07-08,59
2018-07-15,90
2018-07-22,66
2018-07-29,34
2018-08-05,34
