Category: All categories

Week,Senscience: (State of São Paulo)
2016-12-25,22
2017-01-01,29
2017-01-08,47
2017-01-15,61
2017-01-22,69
2017-01-29,61
2017-02-05,46
2017-02-12,56
2017-02-19,23
2017-02-26,47
2017-03-05,65
2017-03-12,75
2017-03-19,33
2017-03-26,44
2017-04-02,33
2017-04-09,17
2017-04-16,46
2017-04-23,27
2017-04-30,46
2017-05-07,45
2017-05-14,46
2017-05-21,88
2017-05-28,34
2017-06-04,22
2017-06-11,49
2017-06-18,45
2017-06-25,41
2017-07-02,56
2017-07-09,73
2017-07-16,24
2017-07-23,93
2017-07-30,55
2017-08-06,44
2017-08-13,71
2017-08-20,56
2017-08-27,84
2017-09-03,66
2017-09-10,50
2017-09-17,50
2017-09-24,54
2017-10-01,44
2017-10-08,41
2017-10-15,37
2017-10-22,58
2017-10-29,34
2017-11-05,58
2017-11-12,44
2017-11-19,52
2017-11-26,74
2017-12-03,94
2017-12-10,50
2017-12-17,82
2017-12-24,54
2017-12-31,49
2018-01-07,53
2018-01-14,85
2018-01-21,69
2018-01-28,48
2018-02-04,27
2018-02-11,58
2018-02-18,68
2018-02-25,52
2018-03-04,50
2018-03-11,47
2018-03-18,41
2018-03-25,75
2018-04-01,47
2018-04-08,58
2018-04-15,84
2018-04-22,47
2018-04-29,72
2018-05-06,84
2018-05-13,84
2018-05-20,53
2018-05-27,50
2018-06-03,52
2018-06-10,68
2018-06-17,32
2018-06-24,64
2018-07-01,99
2018-07-08,61
2018-07-15,33
2018-07-22,100
2018-07-29,60
2018-08-05,65
