Category: Beauty & Fitness

Week,óleo de côco: (State of São Paulo)
2016-12-25,60
2017-01-01,50
2017-01-08,54
2017-01-15,95
2017-01-22,46
2017-01-29,67
2017-02-05,52
2017-02-12,79
2017-02-19,81
2017-02-26,100
2017-03-05,49
2017-03-12,43
2017-03-19,50
2017-03-26,61
2017-04-02,66
2017-04-09,70
2017-04-16,35
2017-04-23,66
2017-04-30,12
2017-05-07,34
2017-05-14,40
2017-05-21,29
2017-05-28,35
2017-06-04,39
2017-06-11,25
2017-06-18,45
2017-06-25,29
2017-07-02,19
2017-07-09,43
2017-07-16,12
2017-07-23,41
2017-07-30,28
2017-08-06,73
2017-08-13,50
2017-08-20,34
2017-08-27,17
2017-09-03,24
2017-09-10,34
2017-09-17,34
2017-09-24,71
2017-10-01,33
2017-10-08,59
2017-10-15,21
2017-10-22,37
2017-10-29,34
2017-11-05,21
2017-11-12,38
2017-11-19,16
2017-11-26,26
2017-12-03,11
2017-12-10,27
2017-12-17,35
2017-12-24,27
2017-12-31,30
2018-01-07,37
2018-01-14,21
2018-01-21,43
2018-01-28,27
2018-02-04,6
2018-02-11,29
2018-02-18,26
2018-02-25,10
2018-03-04,25
2018-03-11,21
2018-03-18,26
2018-03-25,33
2018-04-01,16
2018-04-08,27
2018-04-15,21
2018-04-22,42
2018-04-29,56
2018-05-06,37
2018-05-13,16
2018-05-20,16
2018-05-27,55
2018-06-03,26
2018-06-10,44
2018-06-17,11
2018-06-24,21
2018-07-01,33
2018-07-08,55
2018-07-15,33
2018-07-22,26
2018-07-29,41
2018-08-05,15
