Category: All categories

Week,perfumes importados: (State of São Paulo)
2016-12-25,47
2017-01-01,28
2017-01-08,51
2017-01-15,54
2017-01-22,50
2017-01-29,51
2017-02-05,40
2017-02-12,49
2017-02-19,55
2017-02-26,49
2017-03-05,61
2017-03-12,54
2017-03-19,55
2017-03-26,46
2017-04-02,58
2017-04-09,45
2017-04-16,56
2017-04-23,54
2017-04-30,54
2017-05-07,47
2017-05-14,41
2017-05-21,55
2017-05-28,63
2017-06-04,71
2017-06-11,53
2017-06-18,52
2017-06-25,45
2017-07-02,54
2017-07-09,52
2017-07-16,50
2017-07-23,55
2017-07-30,70
2017-08-06,58
2017-08-13,63
2017-08-20,40
2017-08-27,38
2017-09-03,40
2017-09-10,33
2017-09-17,51
2017-09-24,54
2017-10-01,46
2017-10-08,53
2017-10-15,47
2017-10-22,51
2017-10-29,64
2017-11-05,59
2017-11-12,61
2017-11-19,100
2017-11-26,72
2017-12-03,64
2017-12-10,64
2017-12-17,64
2017-12-24,59
2017-12-31,40
2018-01-07,31
2018-01-14,31
2018-01-21,28
2018-01-28,43
2018-02-04,41
2018-02-11,37
2018-02-18,39
2018-02-25,45
2018-03-04,49
2018-03-11,48
2018-03-18,44
2018-03-25,41
2018-04-01,35
2018-04-08,40
2018-04-15,45
2018-04-22,65
2018-04-29,65
2018-05-06,71
2018-05-13,51
2018-05-20,39
2018-05-27,46
2018-06-03,50
2018-06-10,48
2018-06-17,33
2018-06-24,40
2018-07-01,37
2018-07-08,38
2018-07-15,45
2018-07-22,45
2018-07-29,41
2018-08-05,46
