Category: All categories

Week,versace perfume: (State of São Paulo)
2016-12-25,39
2017-01-01,26
2017-01-08,53
2017-01-15,59
2017-01-22,20
2017-01-29,40
2017-02-05,82
2017-02-12,40
2017-02-19,41
2017-02-26,21
2017-03-05,39
2017-03-12,67
2017-03-19,20
2017-03-26,68
2017-04-02,19
2017-04-09,41
2017-04-16,21
2017-04-23,39
2017-04-30,31
2017-05-07,50
2017-05-14,62
2017-05-21,42
2017-05-28,41
2017-06-04,20
2017-06-11,66
2017-06-18,100
2017-06-25,21
2017-07-02,67
2017-07-09,97
2017-07-16,74
2017-07-23,21
2017-07-30,30
2017-08-06,79
2017-08-13,39
2017-08-20,70
2017-08-27,70
2017-09-03,54
2017-09-10,20
2017-09-17,30
2017-09-24,48
2017-10-01,98
2017-10-08,42
2017-10-15,76
2017-10-22,38
2017-10-29,61
2017-11-05,94
2017-11-12,69
2017-11-19,66
2017-11-26,56
2017-12-03,59
2017-12-10,69
2017-12-17,95
2017-12-24,97
2017-12-31,22
2018-01-07,38
2018-01-14,76
2018-01-21,38
2018-01-28,58
2018-02-04,29
2018-02-11,20
2018-02-18,56
2018-02-25,37
2018-03-04,45
2018-03-11,28
2018-03-18,54
2018-03-25,19
2018-04-01,46
2018-04-08,56
2018-04-15,56
2018-04-22,38
2018-04-29,49
2018-05-06,66
2018-05-13,37
2018-05-20,29
2018-05-27,49
2018-06-03,73
2018-06-10,95
2018-06-17,38
2018-06-24,66
2018-07-01,29
2018-07-08,20
2018-07-15,68
2018-07-22,65
2018-07-29,63
2018-08-05,63
