Category: Kitchen & Dining

Week,canecas: (State of São Paulo)
2016-12-25,0
2017-01-01,35
2017-01-08,29
2017-01-15,61
2017-01-22,35
2017-01-29,27
2017-02-05,42
2017-02-12,41
2017-02-19,35
2017-02-26,28
2017-03-05,59
2017-03-12,78
2017-03-19,47
2017-03-26,60
2017-04-02,40
2017-04-09,28
2017-04-16,49
2017-04-23,33
2017-04-30,21
2017-05-07,21
2017-05-14,35
2017-05-21,28
2017-05-28,49
2017-06-04,41
2017-06-11,30
2017-06-18,68
2017-06-25,50
2017-07-02,83
2017-07-09,59
2017-07-16,14
2017-07-23,28
2017-07-30,61
2017-08-06,47
2017-08-13,20
2017-08-20,41
2017-08-27,47
2017-09-03,22
2017-09-10,41
2017-09-17,27
2017-09-24,40
2017-10-01,73
2017-10-08,50
2017-10-15,52
2017-10-22,13
2017-10-29,28
2017-11-05,38
2017-11-12,33
2017-11-19,38
2017-11-26,58
2017-12-03,41
2017-12-10,87
2017-12-17,100
2017-12-24,33
2017-12-31,44
2018-01-07,39
2018-01-14,13
2018-01-21,39
2018-01-28,32
2018-02-04,13
2018-02-11,35
2018-02-18,25
2018-02-25,57
2018-03-04,61
2018-03-11,19
2018-03-18,37
2018-03-25,59
2018-04-01,57
2018-04-08,45
2018-04-15,45
2018-04-22,71
2018-04-29,54
2018-05-06,45
2018-05-13,19
2018-05-20,39
2018-05-27,13
2018-06-03,13
2018-06-10,71
2018-06-17,39
2018-06-24,46
2018-07-01,47
2018-07-08,40
2018-07-15,33
2018-07-22,38
2018-07-29,55
2018-08-05,37
