Category: All categories

Week,Hamilton Beach Brands: (State of São Paulo)
2016-12-25,50
2017-01-01,32
2017-01-08,13
2017-01-15,49
2017-01-22,13
2017-01-29,12
2017-02-05,52
2017-02-12,50
2017-02-19,13
2017-02-26,27
2017-03-05,36
2017-03-12,12
2017-03-19,13
2017-03-26,12
2017-04-02,49
2017-04-09,0
2017-04-16,26
2017-04-23,49
2017-04-30,52
2017-05-07,50
2017-05-14,13
2017-05-21,39
2017-05-28,39
2017-06-04,75
2017-06-11,42
2017-06-18,89
2017-06-25,39
2017-07-02,28
2017-07-09,54
2017-07-16,40
2017-07-23,26
2017-07-30,75
2017-08-06,25
2017-08-13,25
2017-08-20,25
2017-08-27,100
2017-09-03,67
2017-09-10,25
2017-09-17,25
2017-09-24,12
2017-10-01,61
2017-10-08,27
2017-10-15,36
2017-10-22,82
2017-10-29,38
2017-11-05,47
2017-11-12,49
2017-11-19,83
2017-11-26,35
2017-12-03,50
2017-12-10,86
2017-12-17,66
2017-12-24,30
2017-12-31,82
2018-01-07,36
2018-01-14,12
2018-01-21,36
2018-01-28,36
2018-02-04,37
2018-02-11,52
2018-02-18,35
2018-02-25,70
2018-03-04,46
2018-03-11,46
2018-03-18,23
2018-03-25,12
2018-04-01,58
2018-04-08,47
2018-04-15,47
2018-04-22,71
2018-04-29,50
2018-05-06,47
2018-05-13,46
2018-05-20,36
2018-05-27,37
2018-06-03,34
2018-06-10,43
2018-06-17,47
2018-06-24,48
2018-07-01,25
2018-07-08,25
2018-07-15,12
2018-07-22,12
2018-07-29,68
2018-08-05,46
