Category: Shopping

Week,Lorenzetti: (State of São Paulo)
2016-12-25,19
2017-01-01,56
2017-01-08,31
2017-01-15,29
2017-01-22,60
2017-01-29,15
2017-02-05,45
2017-02-12,44
2017-02-19,30
2017-02-26,31
2017-03-05,14
2017-03-12,42
2017-03-19,29
2017-03-26,43
2017-04-02,57
2017-04-09,15
2017-04-16,30
2017-04-23,57
2017-04-30,15
2017-05-07,15
2017-05-14,60
2017-05-21,61
2017-05-28,45
2017-06-04,44
2017-06-11,32
2017-06-18,44
2017-06-25,31
2017-07-02,33
2017-07-09,63
2017-07-16,31
2017-07-23,46
2017-07-30,29
2017-08-06,58
2017-08-13,0
2017-08-20,15
2017-08-27,14
2017-09-03,48
2017-09-10,59
2017-09-17,29
2017-09-24,42
2017-10-01,42
2017-10-08,15
2017-10-15,84
2017-10-22,55
2017-10-29,15
2017-11-05,41
2017-11-12,14
2017-11-19,82
2017-11-26,41
2017-12-03,44
2017-12-10,43
2017-12-17,31
2017-12-24,0
2017-12-31,16
2018-01-07,42
2018-01-14,56
2018-01-21,0
2018-01-28,28
2018-02-04,14
2018-02-11,30
2018-02-18,41
2018-02-25,41
2018-03-04,53
2018-03-11,0
2018-03-18,13
2018-03-25,14
2018-04-01,55
2018-04-08,28
2018-04-15,14
2018-04-22,28
2018-04-29,44
2018-05-06,55
2018-05-13,27
2018-05-20,83
2018-05-27,43
2018-06-03,27
2018-06-10,63
2018-06-17,14
2018-06-24,28
2018-07-01,57
2018-07-08,57
2018-07-15,100
2018-07-22,55
2018-07-29,40
2018-08-05,40
