Category: Shopping

Week,Robert Bosch: (State of São Paulo)
2016-12-25,64
2017-01-01,84
2017-01-08,55
2017-01-15,69
2017-01-22,46
2017-01-29,59
2017-02-05,46
2017-02-12,48
2017-02-19,46
2017-02-26,58
2017-03-05,64
2017-03-12,46
2017-03-19,45
2017-03-26,75
2017-04-02,65
2017-04-09,36
2017-04-16,61
2017-04-23,47
2017-04-30,65
2017-05-07,52
2017-05-14,50
2017-05-21,43
2017-05-28,78
2017-06-04,52
2017-06-11,68
2017-06-18,42
2017-06-25,73
2017-07-02,62
2017-07-09,87
2017-07-16,62
2017-07-23,58
2017-07-30,52
2017-08-06,83
2017-08-13,44
2017-08-20,69
2017-08-27,62
2017-09-03,64
2017-09-10,69
2017-09-17,76
2017-09-24,47
2017-10-01,64
2017-10-08,58
2017-10-15,72
2017-10-22,68
2017-10-29,60
2017-11-05,42
2017-11-12,57
2017-11-19,68
2017-11-26,55
2017-12-03,79
2017-12-10,48
2017-12-17,73
2017-12-24,50
2017-12-31,61
2018-01-07,66
2018-01-14,66
2018-01-21,33
2018-01-28,73
2018-02-04,68
2018-02-11,57
2018-02-18,62
2018-02-25,100
2018-03-04,37
2018-03-11,64
2018-03-18,63
2018-03-25,50
2018-04-01,36
2018-04-08,92
2018-04-15,32
2018-04-22,46
2018-04-29,48
2018-05-06,42
2018-05-13,78
2018-05-20,39
2018-05-27,48
2018-06-03,57
2018-06-10,79
2018-06-17,46
2018-06-24,79
2018-07-01,61
2018-07-08,72
2018-07-15,75
2018-07-22,49
2018-07-29,84
2018-08-05,50
