Category: All categories

Week,a lavadora: (State of São Paulo)
2016-12-25,33
2017-01-01,39
2017-01-08,46
2017-01-15,31
2017-01-22,32
2017-01-29,24
2017-02-05,38
2017-02-12,49
2017-02-19,19
2017-02-26,26
2017-03-05,12
2017-03-12,41
2017-03-19,30
2017-03-26,18
2017-04-02,48
2017-04-09,51
2017-04-16,25
2017-04-23,42
2017-04-30,38
2017-05-07,31
2017-05-14,38
2017-05-21,51
2017-05-28,13
2017-06-04,43
2017-06-11,40
2017-06-18,37
2017-06-25,45
2017-07-02,62
2017-07-09,53
2017-07-16,45
2017-07-23,26
2017-07-30,18
2017-08-06,31
2017-08-13,60
2017-08-20,43
2017-08-27,24
2017-09-03,47
2017-09-10,18
2017-09-17,43
2017-09-24,47
2017-10-01,30
2017-10-08,19
2017-10-15,18
2017-10-22,69
2017-10-29,31
2017-11-05,35
2017-11-12,72
2017-11-19,40
2017-11-26,29
2017-12-03,49
2017-12-10,42
2017-12-17,19
2017-12-24,37
2017-12-31,100
2018-01-07,35
2018-01-14,35
2018-01-21,59
2018-01-28,29
2018-02-04,30
2018-02-11,13
2018-02-18,46
2018-02-25,23
2018-03-04,33
2018-03-11,17
2018-03-18,28
2018-03-25,18
2018-04-01,23
2018-04-08,53
2018-04-15,46
2018-04-22,46
2018-04-29,37
2018-05-06,58
2018-05-13,34
2018-05-20,23
2018-05-27,42
2018-06-03,28
2018-06-10,37
2018-06-17,81
2018-06-24,29
2018-07-01,60
2018-07-08,42
2018-07-15,42
2018-07-22,34
2018-07-29,72
2018-08-05,39
