Category: All categories

Week,Kärcher: (State of São Paulo)
2016-12-25,47
2017-01-01,45
2017-01-08,57
2017-01-15,51
2017-01-22,60
2017-01-29,57
2017-02-05,67
2017-02-12,65
2017-02-19,54
2017-02-26,55
2017-03-05,46
2017-03-12,66
2017-03-19,57
2017-03-26,32
2017-04-02,59
2017-04-09,48
2017-04-16,62
2017-04-23,47
2017-04-30,35
2017-05-07,59
2017-05-14,51
2017-05-21,35
2017-05-28,49
2017-06-04,65
2017-06-11,76
2017-06-18,57
2017-06-25,71
2017-07-02,46
2017-07-09,50
2017-07-16,63
2017-07-23,84
2017-07-30,60
2017-08-06,69
2017-08-13,53
2017-08-20,35
2017-08-27,71
2017-09-03,68
2017-09-10,55
2017-09-17,63
2017-09-24,69
2017-10-01,48
2017-10-08,45
2017-10-15,39
2017-10-22,55
2017-10-29,66
2017-11-05,58
2017-11-12,62
2017-11-19,100
2017-11-26,52
2017-12-03,74
2017-12-10,65
2017-12-17,52
2017-12-24,66
2017-12-31,51
2018-01-07,56
2018-01-14,71
2018-01-21,66
2018-01-28,69
2018-02-04,68
2018-02-11,57
2018-02-18,69
2018-02-25,53
2018-03-04,61
2018-03-11,63
2018-03-18,72
2018-03-25,44
2018-04-01,69
2018-04-08,48
2018-04-15,42
2018-04-22,73
2018-04-29,60
2018-05-06,64
2018-05-13,69
2018-05-20,54
2018-05-27,50
2018-06-03,43
2018-06-10,40
2018-06-17,48
2018-06-24,52
2018-07-01,61
2018-07-08,66
2018-07-15,79
2018-07-22,63
2018-07-29,64
2018-08-05,53
