Category: Shopping

Week,Kärcher: (Brazil)
2016-12-25,96
2017-01-01,0
2017-01-08,67
2017-01-15,26
2017-01-22,38
2017-01-29,25
2017-02-05,26
2017-02-12,25
2017-02-19,26
2017-02-26,54
2017-03-05,36
2017-03-12,24
2017-03-19,49
2017-03-26,25
2017-04-02,49
2017-04-09,26
2017-04-16,26
2017-04-23,25
2017-04-30,52
2017-05-07,100
2017-05-14,0
2017-05-21,0
2017-05-28,79
2017-06-04,38
2017-06-11,0
2017-06-18,51
2017-06-25,26
2017-07-02,0
2017-07-09,41
2017-07-16,27
2017-07-23,27
2017-07-30,25
2017-08-06,50
2017-08-13,88
2017-08-20,25
2017-08-27,88
2017-09-03,54
2017-09-10,25
2017-09-17,50
2017-09-24,37
2017-10-01,25
2017-10-08,0
2017-10-15,25
2017-10-22,61
2017-10-29,26
2017-11-05,24
2017-11-12,25
2017-11-19,47
2017-11-26,48
2017-12-03,25
2017-12-10,25
2017-12-17,27
2017-12-24,60
2017-12-31,28
2018-01-07,62
2018-01-14,74
2018-01-21,24
2018-01-28,37
2018-02-04,25
2018-02-11,27
2018-02-18,24
2018-02-25,48
2018-03-04,35
2018-03-11,47
2018-03-18,69
2018-03-25,25
2018-04-01,95
2018-04-08,70
2018-04-15,23
2018-04-22,24
2018-04-29,62
2018-05-06,72
2018-05-13,24
2018-05-20,49
2018-05-27,49
2018-06-03,47
2018-06-10,44
2018-06-17,36
2018-06-24,24
2018-07-01,50
2018-07-08,49
2018-07-15,25
2018-07-22,24
2018-07-29,35
2018-08-05,57
