Category: Shopping

Week,maquina de lavar: (State of São Paulo)
2016-12-25,34
2017-01-01,39
2017-01-08,48
2017-01-15,35
2017-01-22,63
2017-01-29,35
2017-02-05,42
2017-02-12,61
2017-02-19,31
2017-02-26,43
2017-03-05,64
2017-03-12,44
2017-03-19,55
2017-03-26,30
2017-04-02,35
2017-04-09,37
2017-04-16,31
2017-04-23,40
2017-04-30,53
2017-05-07,56
2017-05-14,42
2017-05-21,43
2017-05-28,58
2017-06-04,56
2017-06-11,67
2017-06-18,77
2017-06-25,48
2017-07-02,68
2017-07-09,44
2017-07-16,59
2017-07-23,32
2017-07-30,45
2017-08-06,71
2017-08-13,65
2017-08-20,81
2017-08-27,66
2017-09-03,44
2017-09-10,46
2017-09-17,56
2017-09-24,40
2017-10-01,45
2017-10-08,43
2017-10-15,48
2017-10-22,38
2017-10-29,57
2017-11-05,67
2017-11-12,50
2017-11-19,86
2017-11-26,67
2017-12-03,40
2017-12-10,40
2017-12-17,16
2017-12-24,68
2017-12-31,67
2018-01-07,39
2018-01-14,63
2018-01-21,63
2018-01-28,44
2018-02-04,55
2018-02-11,58
2018-02-18,100
2018-02-25,43
2018-03-04,60
2018-03-11,66
2018-03-18,37
2018-03-25,63
2018-04-01,52
2018-04-08,38
2018-04-15,52
2018-04-22,43
2018-04-29,55
2018-05-06,33
2018-05-13,71
2018-05-20,77
2018-05-27,55
2018-06-03,47
2018-06-10,58
2018-06-17,53
2018-06-24,58
2018-07-01,55
2018-07-08,60
2018-07-15,35
2018-07-22,43
2018-07-29,41
2018-08-05,73
