Category: All categories

Week,utilidades domesticas: (State of São Paulo)
2016-12-25,24
2017-01-01,77
2017-01-08,57
2017-01-15,71
2017-01-22,74
2017-01-29,84
2017-02-05,68
2017-02-12,54
2017-02-19,49
2017-02-26,63
2017-03-05,87
2017-03-12,51
2017-03-19,53
2017-03-26,59
2017-04-02,82
2017-04-09,100
2017-04-16,43
2017-04-23,58
2017-04-30,68
2017-05-07,48
2017-05-14,86
2017-05-21,69
2017-05-28,74
2017-06-04,54
2017-06-11,85
2017-06-18,60
2017-06-25,38
2017-07-02,53
2017-07-09,65
2017-07-16,76
2017-07-23,62
2017-07-30,83
2017-08-06,83
2017-08-13,59
2017-08-20,60
2017-08-27,78
2017-09-03,91
2017-09-10,42
2017-09-17,54
2017-09-24,41
2017-10-01,29
2017-10-08,50
2017-10-15,57
2017-10-22,51
2017-10-29,61
2017-11-05,96
2017-11-12,70
2017-11-19,84
2017-11-26,73
2017-12-03,95
2017-12-10,59
2017-12-17,31
2017-12-24,36
2017-12-31,46
2018-01-07,80
2018-01-14,57
2018-01-21,57
2018-01-28,23
2018-02-04,64
2018-02-11,50
2018-02-18,84
2018-02-25,56
2018-03-04,70
2018-03-11,55
2018-03-18,54
2018-03-25,46
2018-04-01,67
2018-04-08,62
2018-04-15,73
2018-04-22,45
2018-04-29,36
2018-05-06,39
2018-05-13,45
2018-05-20,68
2018-05-27,77
2018-06-03,50
2018-06-10,63
2018-06-17,34
2018-06-24,46
2018-07-01,53
2018-07-08,47
2018-07-15,82
2018-07-22,62
2018-07-29,81
2018-08-05,54
