Category: All categories

Week,Fish hook: (State of São Paulo)
2016-12-25,89
2017-01-01,71
2017-01-08,68
2017-01-15,58
2017-01-22,84
2017-01-29,67
2017-02-05,60
2017-02-12,61
2017-02-19,84
2017-02-26,61
2017-03-05,51
2017-03-12,72
2017-03-19,90
2017-03-26,57
2017-04-02,60
2017-04-09,61
2017-04-16,63
2017-04-23,74
2017-04-30,42
2017-05-07,62
2017-05-14,78
2017-05-21,37
2017-05-28,78
2017-06-04,47
2017-06-11,61
2017-06-18,53
2017-06-25,46
2017-07-02,52
2017-07-09,54
2017-07-16,37
2017-07-23,61
2017-07-30,52
2017-08-06,38
2017-08-13,46
2017-08-20,47
2017-08-27,61
2017-09-03,44
2017-09-10,70
2017-09-17,72
2017-09-24,59
2017-10-01,88
2017-10-08,74
2017-10-15,66
2017-10-22,71
2017-10-29,53
2017-11-05,52
2017-11-12,60
2017-11-19,55
2017-11-26,66
2017-12-03,44
2017-12-10,40
2017-12-17,92
2017-12-24,64
2017-12-31,89
2018-01-07,64
2018-01-14,64
2018-01-21,33
2018-01-28,50
2018-02-04,68
2018-02-11,72
2018-02-18,49
2018-02-25,73
2018-03-04,71
2018-03-11,100
2018-03-18,50
2018-03-25,70
2018-04-01,68
2018-04-08,47
2018-04-15,57
2018-04-22,77
2018-04-29,84
2018-05-06,63
2018-05-13,52
2018-05-20,42
2018-05-27,35
2018-06-03,16
2018-06-10,46
2018-06-17,66
2018-06-24,31
2018-07-01,54
2018-07-08,72
2018-07-15,63
2018-07-22,63
2018-07-29,53
2018-08-05,63
