Category: All categories

Week,Marine Sports: (State of São Paulo)
2016-12-25,42
2017-01-01,81
2017-01-08,39
2017-01-15,42
2017-01-22,54
2017-01-29,63
2017-02-05,71
2017-02-12,63
2017-02-19,49
2017-02-26,28
2017-03-05,31
2017-03-12,60
2017-03-19,52
2017-03-26,93
2017-04-02,93
2017-04-09,50
2017-04-16,65
2017-04-23,72
2017-04-30,38
2017-05-07,53
2017-05-14,27
2017-05-21,66
2017-05-28,54
2017-06-04,43
2017-06-11,87
2017-06-18,74
2017-06-25,100
2017-07-02,82
2017-07-09,63
2017-07-16,33
2017-07-23,50
2017-07-30,68
2017-08-06,47
2017-08-13,62
2017-08-20,74
2017-08-27,68
2017-09-03,51
2017-09-10,74
2017-09-17,37
2017-09-24,36
2017-10-01,62
2017-10-08,39
2017-10-15,40
2017-10-22,60
2017-10-29,54
2017-11-05,55
2017-11-12,62
2017-11-19,45
2017-11-26,55
2017-12-03,47
2017-12-10,52
2017-12-17,39
2017-12-24,26
2017-12-31,41
2018-01-07,45
2018-01-14,30
2018-01-21,60
2018-01-28,35
2018-02-04,52
2018-02-11,76
2018-02-18,45
2018-02-25,64
2018-03-04,48
2018-03-11,29
2018-03-18,29
2018-03-25,86
2018-04-01,59
2018-04-08,40
2018-04-15,59
2018-04-22,50
2018-04-29,68
2018-05-06,89
2018-05-13,45
2018-05-20,25
2018-05-27,37
2018-06-03,34
2018-06-10,28
2018-06-17,35
2018-06-24,30
2018-07-01,42
2018-07-08,31
2018-07-15,47
2018-07-22,55
2018-07-29,67
2018-08-05,33
