Category: All categories

Week,barraca de camping: (State of São Paulo)
2016-12-25,100
2017-01-01,62
2017-01-08,63
2017-01-15,75
2017-01-22,22
2017-01-29,32
2017-02-05,44
2017-02-12,43
2017-02-19,83
2017-02-26,34
2017-03-05,52
2017-03-12,41
2017-03-19,21
2017-03-26,26
2017-04-02,47
2017-04-09,50
2017-04-16,28
2017-04-23,53
2017-04-30,22
2017-05-07,11
2017-05-14,39
2017-05-21,51
2017-05-28,33
2017-06-04,43
2017-06-11,35
2017-06-18,16
2017-06-25,17
2017-07-02,42
2017-07-09,17
2017-07-16,39
2017-07-23,28
2017-07-30,11
2017-08-06,32
2017-08-13,21
2017-08-20,38
2017-08-27,32
2017-09-03,41
2017-09-10,38
2017-09-17,43
2017-09-24,68
2017-10-01,42
2017-10-08,68
2017-10-15,87
2017-10-22,56
2017-10-29,44
2017-11-05,61
2017-11-12,63
2017-11-19,91
2017-11-26,66
2017-12-03,59
2017-12-10,89
2017-12-17,51
2017-12-24,85
2017-12-31,70
2018-01-07,82
2018-01-14,72
2018-01-21,41
2018-01-28,88
2018-02-04,37
2018-02-11,73
2018-02-18,51
2018-02-25,30
2018-03-04,19
2018-03-11,25
2018-03-18,29
2018-03-25,47
2018-04-01,45
2018-04-08,15
2018-04-15,25
2018-04-22,46
2018-04-29,59
2018-05-06,20
2018-05-13,30
2018-05-20,20
2018-05-27,21
2018-06-03,40
2018-06-10,23
2018-06-17,36
2018-06-24,15
2018-07-01,42
2018-07-08,21
2018-07-15,21
2018-07-22,25
2018-07-29,19
2018-08-05,15
