Category: All categories

Week,barraca de praia: (State of São Paulo)
2016-12-25,100
2017-01-01,48
2017-01-08,46
2017-01-15,32
2017-01-22,44
2017-01-29,16
2017-02-05,55
2017-02-12,27
2017-02-19,33
2017-02-26,17
2017-03-05,21
2017-03-12,5
2017-03-19,27
2017-03-26,21
2017-04-02,21
2017-04-09,17
2017-04-16,11
2017-04-23,5
2017-04-30,6
2017-05-07,5
2017-05-14,6
2017-05-21,11
2017-05-28,17
2017-06-04,11
2017-06-11,12
2017-06-18,5
2017-06-25,6
2017-07-02,12
2017-07-09,12
2017-07-16,0
2017-07-23,11
2017-07-30,11
2017-08-06,11
2017-08-13,11
2017-08-20,22
2017-08-27,27
2017-09-03,12
2017-09-10,11
2017-09-17,27
2017-09-24,31
2017-10-01,5
2017-10-08,29
2017-10-15,31
2017-10-22,25
2017-10-29,27
2017-11-05,45
2017-11-12,10
2017-11-19,30
2017-11-26,36
2017-12-03,64
2017-12-10,42
2017-12-17,34
2017-12-24,46
2017-12-31,76
2018-01-07,46
2018-01-14,92
2018-01-21,41
2018-01-28,52
2018-02-04,37
2018-02-11,62
2018-02-18,10
2018-02-25,30
2018-03-04,24
2018-03-11,45
2018-03-18,39
2018-03-25,21
2018-04-01,25
2018-04-08,26
2018-04-15,20
2018-04-22,31
2018-04-29,11
2018-05-06,5
2018-05-13,10
2018-05-20,0
2018-05-27,11
2018-06-03,5
2018-06-10,5
2018-06-17,0
2018-06-24,10
2018-07-01,5
2018-07-08,0
2018-07-15,21
2018-07-22,15
2018-07-29,10
2018-08-05,0
