Category: All categories

Week,caixa termica: (State of São Paulo)
2016-12-25,100
2017-01-01,74
2017-01-08,86
2017-01-15,45
2017-01-22,37
2017-01-29,43
2017-02-05,33
2017-02-12,45
2017-02-19,69
2017-02-26,49
2017-03-05,47
2017-03-12,36
2017-03-19,36
2017-03-26,30
2017-04-02,44
2017-04-09,23
2017-04-16,32
2017-04-23,33
2017-04-30,19
2017-05-07,16
2017-05-14,30
2017-05-21,38
2017-05-28,22
2017-06-04,13
2017-06-11,10
2017-06-18,34
2017-06-25,44
2017-07-02,24
2017-07-09,29
2017-07-16,15
2017-07-23,30
2017-07-30,21
2017-08-06,34
2017-08-13,34
2017-08-20,20
2017-08-27,36
2017-09-03,39
2017-09-10,48
2017-09-17,41
2017-09-24,31
2017-10-01,41
2017-10-08,51
2017-10-15,39
2017-10-22,42
2017-10-29,50
2017-11-05,47
2017-11-12,63
2017-11-19,69
2017-11-26,61
2017-12-03,74
2017-12-10,75
2017-12-17,82
2017-12-24,79
2017-12-31,69
2018-01-07,60
2018-01-14,69
2018-01-21,43
2018-01-28,53
2018-02-04,72
2018-02-11,60
2018-02-18,34
2018-02-25,44
2018-03-04,54
2018-03-11,43
2018-03-18,30
2018-03-25,36
2018-04-01,54
2018-04-08,37
2018-04-15,41
2018-04-22,36
2018-04-29,63
2018-05-06,32
2018-05-13,20
2018-05-20,22
2018-05-27,18
2018-06-03,15
2018-06-10,19
2018-06-17,37
2018-06-24,16
2018-07-01,37
2018-07-08,25
2018-07-15,32
2018-07-22,27
2018-07-29,42
2018-08-05,28
