Category: All categories

Week,Mobile phone accessories: (Brazil)
2016-12-25,17
2017-01-01,0
2017-01-08,0
2017-01-15,42
2017-01-22,28
2017-01-29,14
2017-02-05,14
2017-02-12,40
2017-02-19,0
2017-02-26,0
2017-03-05,13
2017-03-12,39
2017-03-19,0
2017-03-26,13
2017-04-02,52
2017-04-09,0
2017-04-16,28
2017-04-23,13
2017-04-30,70
2017-05-07,68
2017-05-14,29
2017-05-21,28
2017-05-28,43
2017-06-04,42
2017-06-11,74
2017-06-18,27
2017-06-25,100
2017-07-02,45
2017-07-09,44
2017-07-16,72
2017-07-23,58
2017-07-30,0
2017-08-06,0
2017-08-13,27
2017-08-20,0
2017-08-27,13
2017-09-03,15
2017-09-10,69
2017-09-17,27
2017-09-24,54
2017-10-01,40
2017-10-08,14
2017-10-15,13
2017-10-22,13
2017-10-29,42
2017-11-05,13
2017-11-12,41
2017-11-19,51
2017-11-26,13
2017-12-03,41
2017-12-10,14
2017-12-17,29
2017-12-24,16
2017-12-31,30
2018-01-07,14
2018-01-14,27
2018-01-21,0
2018-01-28,0
2018-02-04,41
2018-02-11,0
2018-02-18,13
2018-02-25,0
2018-03-04,25
2018-03-11,38
2018-03-18,25
2018-03-25,13
2018-04-01,13
2018-04-08,0
2018-04-15,0
2018-04-22,13
2018-04-29,0
2018-05-06,13
2018-05-13,0
2018-05-20,0
2018-05-27,27
2018-06-03,26
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,13
2018-07-08,13
2018-07-15,40
2018-07-22,13
2018-07-29,50
2018-08-05,86
