Category: All categories

Week,moto g5 plus: (State of São Paulo)
2016-12-25,1
2017-01-01,0
2017-01-08,2
2017-01-15,0
2017-01-22,0
2017-01-29,1
2017-02-05,<1
2017-02-12,2
2017-02-19,1
2017-02-26,7
2017-03-05,41
2017-03-12,35
2017-03-19,24
2017-03-26,26
2017-04-02,27
2017-04-09,24
2017-04-16,28
2017-04-23,27
2017-04-30,37
2017-05-07,43
2017-05-14,34
2017-05-21,29
2017-05-28,27
2017-06-04,39
2017-06-11,34
2017-06-18,32
2017-06-25,37
2017-07-02,35
2017-07-09,40
2017-07-16,38
2017-07-23,35
2017-07-30,45
2017-08-06,41
2017-08-13,45
2017-08-20,48
2017-08-27,49
2017-09-03,49
2017-09-10,47
2017-09-17,47
2017-09-24,52
2017-10-01,43
2017-10-08,56
2017-10-15,46
2017-10-22,50
2017-10-29,54
2017-11-05,54
2017-11-12,54
2017-11-19,100
2017-11-26,63
2017-12-03,59
2017-12-10,54
2017-12-17,60
2017-12-24,65
2017-12-31,64
2018-01-07,46
2018-01-14,42
2018-01-21,47
2018-01-28,38
2018-02-04,42
2018-02-11,46
2018-02-18,37
2018-02-25,38
2018-03-04,35
2018-03-11,31
2018-03-18,30
2018-03-25,34
2018-04-01,30
2018-04-08,30
2018-04-15,35
2018-04-22,31
2018-04-29,29
2018-05-06,32
2018-05-13,28
2018-05-20,22
2018-05-27,26
2018-06-03,25
2018-06-10,22
2018-06-17,26
2018-06-24,19
2018-07-01,24
2018-07-08,28
2018-07-15,26
2018-07-22,20
2018-07-29,23
2018-08-05,20
