Category: Shopping

Week,Moto G5: (Brazil)
2016-12-25,<1
2017-01-01,<1
2017-01-08,1
2017-01-15,<1
2017-01-22,<1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,4
2017-03-05,28
2017-03-12,32
2017-03-19,29
2017-03-26,26
2017-04-02,23
2017-04-09,25
2017-04-16,21
2017-04-23,22
2017-04-30,23
2017-05-07,28
2017-05-14,24
2017-05-21,23
2017-05-28,24
2017-06-04,31
2017-06-11,28
2017-06-18,23
2017-06-25,24
2017-07-02,24
2017-07-09,24
2017-07-16,26
2017-07-23,30
2017-07-30,31
2017-08-06,33
2017-08-13,33
2017-08-20,27
2017-08-27,32
2017-09-03,37
2017-09-10,35
2017-09-17,28
2017-09-24,33
2017-10-01,38
2017-10-08,33
2017-10-15,32
2017-10-22,37
2017-10-29,34
2017-11-05,41
2017-11-12,42
2017-11-19,100
2017-11-26,55
2017-12-03,42
2017-12-10,39
2017-12-17,43
2017-12-24,47
2017-12-31,51
2018-01-07,42
2018-01-14,38
2018-01-21,36
2018-01-28,32
2018-02-04,33
2018-02-11,34
2018-02-18,36
2018-02-25,35
2018-03-04,34
2018-03-11,37
2018-03-18,31
2018-03-25,30
2018-04-01,29
2018-04-08,29
2018-04-15,31
2018-04-22,32
2018-04-29,35
2018-05-06,33
2018-05-13,27
2018-05-20,24
2018-05-27,27
2018-06-03,26
2018-06-10,23
2018-06-17,23
2018-06-24,23
2018-07-01,20
2018-07-08,22
2018-07-15,26
2018-07-22,23
2018-07-29,25
2018-08-05,20
