Category: Shopping

Week,Moto G5: (State of São Paulo)
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,2
2017-01-22,1
2017-01-29,1
2017-02-05,1
2017-02-12,1
2017-02-19,1
2017-02-26,5
2017-03-05,36
2017-03-12,44
2017-03-19,32
2017-03-26,24
2017-04-02,23
2017-04-09,24
2017-04-16,23
2017-04-23,27
2017-04-30,21
2017-05-07,26
2017-05-14,31
2017-05-21,17
2017-05-28,29
2017-06-04,33
2017-06-11,26
2017-06-18,29
2017-06-25,26
2017-07-02,24
2017-07-09,35
2017-07-16,25
2017-07-23,25
2017-07-30,37
2017-08-06,33
2017-08-13,32
2017-08-20,32
2017-08-27,32
2017-09-03,32
2017-09-10,37
2017-09-17,37
2017-09-24,42
2017-10-01,41
2017-10-08,35
2017-10-15,40
2017-10-22,44
2017-10-29,42
2017-11-05,51
2017-11-12,55
2017-11-19,100
2017-11-26,48
2017-12-03,42
2017-12-10,44
2017-12-17,47
2017-12-24,40
2017-12-31,60
2018-01-07,42
2018-01-14,31
2018-01-21,28
2018-01-28,35
2018-02-04,32
2018-02-11,31
2018-02-18,37
2018-02-25,34
2018-03-04,37
2018-03-11,43
2018-03-18,28
2018-03-25,32
2018-04-01,30
2018-04-08,33
2018-04-15,23
2018-04-22,34
2018-04-29,33
2018-05-06,29
2018-05-13,31
2018-05-20,28
2018-05-27,23
2018-06-03,29
2018-06-10,24
2018-06-17,26
2018-06-24,20
2018-07-01,25
2018-07-08,17
2018-07-15,20
2018-07-22,19
2018-07-29,21
2018-08-05,18
