Category: All categories

Week,Samsung Galaxy On7 (2016): (State of São Paulo)
2016-12-25,24
2017-01-01,29
2017-01-08,34
2017-01-15,25
2017-01-22,32
2017-01-29,28
2017-02-05,30
2017-02-12,29
2017-02-19,32
2017-02-26,46
2017-03-05,38
2017-03-12,37
2017-03-19,40
2017-03-26,40
2017-04-02,37
2017-04-09,41
2017-04-16,36
2017-04-23,41
2017-04-30,39
2017-05-07,49
2017-05-14,45
2017-05-21,35
2017-05-28,41
2017-06-04,35
2017-06-11,48
2017-06-18,42
2017-06-25,42
2017-07-02,48
2017-07-09,45
2017-07-16,37
2017-07-23,44
2017-07-30,43
2017-08-06,49
2017-08-13,50
2017-08-20,49
2017-08-27,48
2017-09-03,47
2017-09-10,46
2017-09-17,56
2017-09-24,43
2017-10-01,44
2017-10-08,45
2017-10-15,49
2017-10-22,41
2017-10-29,46
2017-11-05,46
2017-11-12,53
2017-11-19,100
2017-11-26,72
2017-12-03,54
2017-12-10,50
2017-12-17,47
2017-12-24,59
2017-12-31,63
2018-01-07,58
2018-01-14,49
2018-01-21,47
2018-01-28,37
2018-02-04,37
2018-02-11,48
2018-02-18,44
2018-02-25,43
2018-03-04,46
2018-03-11,40
2018-03-18,45
2018-03-25,46
2018-04-01,48
2018-04-08,45
2018-04-15,45
2018-04-22,44
2018-04-29,50
2018-05-06,59
2018-05-13,55
2018-05-20,48
2018-05-27,46
2018-06-03,49
2018-06-10,46
2018-06-17,50
2018-06-24,44
2018-07-01,42
2018-07-08,43
2018-07-15,47
2018-07-22,42
2018-07-29,47
2018-08-05,56
